player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
aleksandrs-baranovskis,Aleksandrs Baranovskis,,0.0,1.0,1.0,4.0,5.0
arnis-veidemanis,Arnis Veidemanis,,0.0,1.0,1.0,4.0,5.0
iiro-sipola,Iiro Sipola,,1.0,1.0,0.0,5.0,4.0
jani-sullanmaa,Jani Sullanmaa,,1.0,1.0,0.0,5.0,4.0
janis-klive,Janis Klive,,0.0,1.0,1.0,4.0,5.0
kalle-kiiskinen,Kalle Kiiskinen,,1.0,1.0,0.0,5.0,4.0
paavo-kuosmanen,Paavo Kuosmanen,,1.0,1.0,0.0,5.0,4.0
rihards-jeske,Rihards Jeske,,0.0,1.0,1.0,4.0,5.0
roberts-buncis,Roberts Buncis,,0.0,1.0,1.0,4.0,5.0
teemu-salo,Teemu Salo,,1.0,1.0,0.0,5.0,4.0
