player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
alec-wilson-holliday,Alec Wilson Holliday,P,1.0,,,16.0,13.0,,2.0,2.0,,,14.0,1.0,397.0,-24.0
ben-price,Ben Price,P,3.0,,,11.0,12.0,,1.0,,,,13.0,1.0,56.0,102.0
brandon-dial,Brandon Dial,P,,2.0,,7.0,5.0,1.0,3.0,,,,5.0,,39.0,16.0
brandon-malecek,Brandon Malecek,P,,,,31.0,37.0,,,1.0,1.0,,42.0,5.0,67.0,254.0
brooks-wallace,Brooks Wallace,P,,1.0,,32.0,29.0,,2.0,2.0,1.0,,34.0,5.0,166.0,226.0
chris-casella,Chris Casella,P,1.0,2.0,,10.0,10.0,,1.0,,,2.0,14.0,3.0,32.0,59.0
christian-parker,Christian Parker,P,,,,2.0,1.0,,1.0,,,1.0,2.0,1.0,19.0,37.0
connor-deluna,Connor DeLuna,P,2.0,1.0,,11.0,7.0,,3.0,2.0,,,8.0,1.0,212.0,17.0
daniel-emmons,Daniel Emmons,P,3.0,,,3.0,3.0,,,,,8.0,3.0,,136.0,8.0
daniel-welkener,Daniel Welkener,P,,,,1.0,1.0,,,,,,1.0,,3.0,11.0
darren-phillips,Darren Phillips,P,,1.0,,3.0,5.0,,,3.0,2.0,,7.0,2.0,15.0,145.0
duncan-fitzgerald,Duncan Fitzgerald,P,2.0,,,23.0,30.0,,1.0,3.0,,,32.0,2.0,-6.0,241.0
elliott-moore,Elliott Moore,P,2.0,2.0,,5.0,9.0,,,,,,11.0,1.0,17.0,77.0
eric-brodbeck,Eric Brodbeck,P,,1.0,,9.0,8.0,,2.0,1.0,1.0,,9.0,,80.0,75.0
eric-carter,Eric Carter,P,4.0,1.0,,13.0,15.0,,,1.0,1.0,,15.0,,22.0,113.0
evan-swiatek,Evan Swiatek,P,1.0,1.0,,16.0,14.0,,3.0,2.0,,,14.0,,212.0,25.0
garrett-wilson,Garrett Wilson,WR/P,,,,11.0,11.0,,1.0,1.0,,,11.0,,55.0,58.0
griffin-miller,Griffin Miller,P,1.0,,,12.0,9.0,1.0,,,,,12.0,3.0,101.0,21.0
jack-wooldridge,Jack Wooldridge,P,1.0,,,12.0,16.0,,1.0,,,,19.0,2.0,60.0,114.0
jackson-potts,Jackson Potts,P,3.0,,,12.0,16.0,,,1.0,,3.0,17.0,1.0,54.0,154.0
jake-radack,Jake Radack,P,1.0,1.0,,19.0,21.0,,,2.0,2.0,1.0,23.0,,82.0,222.0
jason-hustad,Jason Hustad,P,3.0,1.0,,44.0,47.0,,,1.0,3.0,,51.0,3.0,93.0,458.0
joey-wylie,Joey Wylie,P,1.0,3.0,,17.0,17.0,,2.0,3.0,,,18.0,1.0,154.0,45.0
joseph-welkener,Joseph Welkener,P,,1.0,,2.0,1.0,,1.0,,,,1.0,,-2.0,13.0
kevin-richardson,Kevin Richardson,P,1.0,,,11.0,20.0,1.0,,1.0,,5.0,18.0,,66.0,129.0
kyle-henke,Kyle Henke,P,,,,17.0,10.0,1.0,3.0,1.0,,1.0,14.0,3.0,293.0,26.0
mark-evans,Mark Evans,P,1.0,,,6.0,5.0,1.0,,,1.0,,7.0,2.0,38.0,52.0
mark-henke,Mark Henke,P,,1.0,,4.0,2.0,1.0,2.0,1.0,,,2.0,,149.0,35.0
matthew-armour,Matthew Armour,P,2.0,,,17.0,16.0,,,2.0,1.0,,18.0,2.0,108.0,177.0
mick-walter,Mick Walter,P,2.0,2.0,,6.0,7.0,1.0,,1.0,,,7.0,,86.0,64.0
myles-armstrong,Myles Armstrong,P,,1.0,,11.0,6.0,,3.0,2.0,1.0,,8.0,2.0,146.0,99.0
myles-cooper,Myles Cooper,P,,,,4.0,4.0,,,,,,5.0,1.0,39.0,1.0
reese-bowman,Reese Bowman,P,2.0,2.0,1.0,14.0,14.0,,2.0,1.0,,8.0,15.0,1.0,72.0,175.0
robert-hausmann,Robert Hausmann,P,1.0,,,6.0,4.0,,1.0,,,,4.0,,66.0,-5.0
ryan-buckingham,Ryan Buckingham,P,,,,1.0,1.0,,,,,,1.0,,5.0,-4.0
timothy-mosher,Timothy Mosher,P,,,,,1.0,,,,,,1.0,,,-2.0
tyler-reinhardt,Tyler Reinhardt,P,,1.0,,11.0,11.0,,1.0,1.0,,11.0,11.0,,51.0,90.0
