player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl,recv_tar,rush_att,rush_lg,rush_yds
antonio-simmons,Antonio Simmons,DB/DE,1.0,,,1.0,,,,,
david-dean,David Dean,DT/DB,,,2.0,2.0,,,,,
jeremy-faulk,Jeremy Faulk,DL/DB,1.0,1.0,4.0,5.0,13.0,,,,
quan-bray,Quan Bray,RB/WR,,,,,,1.0,1.0,3.0,3.0
shaheed-salmon,Shaheed Salmon,LB/DB,1.0,,,1.0,,,,,
