player_id,player_name,positions,1pt_conversion,conversions,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alex-ellis,Alex Ellis,TE,,,,,,,,1.0,28.0,3.0,,,
brandon-smith-2,Brandon Smith,WR,,,,,,,,0.0,52.0,6.0,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,0.0,5.0,1.0,,,
camron-harris,Cam\'Ron Harris,RB,,,,,,,,,,,0.0,43.0,
chris-rowland,Chris Rowland,WR,,,,,,,,1.0,49.0,3.0,0.0,10.0,
daewood-davis,Daewood Davis,WR,,,,,,,,0.0,3.0,1.0,,,
darius-hagans,Darius Hagans,RB,,,,,,,,,,,0.0,46.0,
darius-victor,Darius Victor,RB,,,,,,,,0.0,3.0,2.0,1.0,98.0,
defenders-dst,Defenders DST,DST,,,,2.0,,,21.0,,,,,,2.0
defenders-k,Defenders K,K/QB,,3.0,2.0,,2.0,277.0,,,,,2.0,52.0,
jalan-mcclendon,Jalan McClendon,QB,,,0.0,,0.0,40.0,,,,,1.0,14.0,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,0.0,11.0,1.0,,,
jonathan-adams,Jonathan Adams,WR,1.0,1.0,,,,,,0.0,73.0,5.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,3.0,2.0,,2.0,237.0,,,,,1.0,38.0,
josh-love,Josh Love,QB,1.0,1.0,2.0,,1.0,105.0,,,,,1.0,9.0,
kaden-smith,Kaden Smith,TE,,2.0,,,,,,,,,,,
keke-coutee,Keke Coutee,WR,,,,,,,,0.0,69.0,5.0,1.0,17.0,
lee-morris,Lee Morris,WR,,,,,,,,0.0,0.0,0.0,,,
showboats-qb,SHOWBOATS QB,QB,1.0,1.0,2.0,,1.0,120.0,,,,,1.0,9.0,
sage-surratt,Sage Surratt,TE,,,,,,,,0.0,4.0,1.0,,,
showboats-dst,Showboats DST,DST,,,,2.0,,,36.0,,,,,,3.0
titus-swen,Titus Swen,RB,,,,,,,,,,,0.0,19.0,
troy-williams,Troy Williams,QB,,,0.0,,0.0,15.0,,,,,,,
ty-scott,Ty Scott,WR,,,,,,,,0.0,52.0,3.0,,,
vinny-papale,Vinny Papale,WR,,,,,,,,1.0,26.0,3.0,,,
vyncint-smith,Vyncint Smith,WR,,,,,,,,0.0,0.0,0.0,,,
