player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
andre-thomas-cobb,Andre Thomas-Cobb,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
bizzet-woodley,Bizzet Woodley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,19.0,0.0,79.0,6.0,,,,,,,,,,,,,
brean-michel,Brean Michel,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,
byron-cooper,Byron Cooper,LB,1.0,1.0,0.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,,,,
caleb-shudak,Caleb  Shudak,K,3.0,1.0,0.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,
dnerius-antoine,D'Nerius Antoine,WR,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,13.0,2.0,0.0,,
darin-hungerford,Darin Hungerford,LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
deanthony-hall-steele,Deanthony  Hall-Steele,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,10.0,0.0,25.0,3.0,7.0,10.0,2.0,0.0,14.0,,,,,,,,
demario-mays,Demario Mays,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,1.0,0.0,,
demry-croft,Demry Croft,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,2.0,,,,
eric-thomas-jr,Eric Thomas Jr.,WR,0.0,,,,,,,,,,1.0,,,,,,,2.0,2.0,0.0,2.0,,,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,
fred-hardgrove,Fred Hardgrove,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
