player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,misc_td,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adam-berger,Adam Berger,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,,,,,,,,,,,15.0,3.0,4.0,,7.0,20.0,,,,,,7.0,15.0,,43.0,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-ellis,Avery Ellis,DL/DB/DE,2.0,2.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,,20.0,10.0,15.0,,24.0,98.0,,,,,,,,,,1.0,,,2.0,,,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,22.0,,35.0,,,,,,,,,,,,
brett-maher,Brett Maher,K,,,,,,,,,,,,,,,,,,,80.0,4.0,3.0,70.0,276.0,,,,,,,,8.0,,,2.0,2.0,44.0,7.0,1.0,1.0
brian-walker,Brian Walker,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-randle,Chris Randle,DB,,4.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
clarence-denmark,Clarence Denmark,WR,,,,,,,,,,,,,11.0,4.0,5.0,,10.0,37.0,,,,,,,,,,,,,,,,,,,,,
