player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
a-kansonkho,A Kansonkho,,1.0,0.0,0.0,8.0,0.0,0.0,,,,,,,1.0
bilal-hassun,Bilal Hassun,,,,,,,,18.0,0.0,0.0,12.0,2.0,0.0,1.0
c-chete,C Chete,,1.0,0.0,0.0,7.0,0.0,0.0,,,,,,,1.0
d-kansonkho,D Kansonkho,,37.0,5.0,0.0,2.0,31.0,0.0,12.0,0.0,0.0,16.0,0.0,1.0,1.0
d-muhumuza,D Muhumuza,,,,,,,,6.0,0.0,0.0,8.0,0.0,1.0,1.0
dm-nakrani,DM Nakrani,,,,,,,,24.0,0.0,0.0,19.0,1.0,0.0,1.0
f-akankwasa,F Akankwasa,,,,,,,,12.0,0.0,0.0,10.0,2.0,1.0,1.0
f-nsubuga,F Nsubuga,,,,,,,,24.0,1.0,0.0,9.0,0.0,0.0,1.0
g-kansonkho,G Kansonkho,,48.0,1.0,0.0,1.0,33.0,1.0,6.0,0.0,0.0,8.0,0.0,0.0,1.0
gm-ntambalika,GM Ntambalika,,7.0,1.0,0.0,6.0,8.0,0.0,12.0,0.0,0.0,28.0,0.0,1.0,1.0
h-ssenyondo,H Ssenyondo,,,,,,,,18.0,0.0,0.0,21.0,0.0,0.0,1.0
m-abdulla,M Abdulla,,5.0,0.0,0.0,5.0,2.0,0.0,24.0,0.0,0.0,23.0,0.0,1.0,1.0
m-mwamadi,M Mwamadi,,2.0,0.0,1.0,9.0,0.0,0.0,,,,,,,1.0
ma-baig,MA Baig,,16.0,1.0,1.0,3.0,13.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0
riazat-ali-shah,Riazat Ali Shah,,,,,,,,18.0,0.0,0.0,12.0,2.0,2.0,1.0
s-sesazi,S Sesazi,,39.0,10.0,1.0,2.0,62.0,0.0,,,,,,,1.0
sami-sohail,Sami Sohail,,3.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,1.0
saud-islam,Saud Islam,,27.0,3.0,1.0,1.0,31.0,0.0,,,,,,,1.0
