player_id,player_name,positions,fg_made,pass_td,pat_made,recv_td,rush_td
deanthony-hall-steele,Deanthony  Hall-Steele,RB,,,,1.0,
john-williams,John Williams,WR,2.0,,,,
kam-prewitt,Kam Prewitt,DB,,,1.0,,
labarron-mallory,Labarron Mallory,DB,,1.0,1.0,,
marco-lee,Marco Lee,RB,,,1.0,,1.0
martevious-jeffries,Martevious Jeffries,WR,,,,,1.0
pablo-lopez,Pablo Lopez,K,,,1.0,,
ricardo-barnett,Ricardo Barnett,DB,1.0,,,,
tirri-jones,Tirri Jones,QB,,,,,2.0
