player_id,player_name,positions,fg_made,pass_td,recv_td
carlos-vazquez,Carlos Vazquez,K,1.0,,
jakaylen-jackson,Jakaylen Jackson,DB,,,2.0
joenez-coleman,Joenez Coleman,OL,,2.0,
kerry-starks,Kerry Starks,LB,,,1.0
malik-milloy,Malik Milloy,DL,,1.0,
neriyan-brown,Neriyan Brown,DB,3.0,,
