player_id,player_name,positions,1pt_conversion,conversions,field_goal_yards,interceptions_lost,interceptions_made,missed,pass_defended,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-hendy,A.J. Hendy,FS/DB,,,,,,,,,,,,,,,,,1.0
ajene-harris,Ajene Harris,CB/DB,,,,,1.0,,2.0,,,,,,,,,,2.0
alize-mack,Alize Mack,TE,,,,,,,,,,,,27.0,3.0,,,,
ben-putman,Ben Putman,WR,,,,,,,,,,,,1.0,2.0,,,,
brahmas-dst,Brahmas DST,DST,,,,,1.0,,,,,22.0,,,,,,2.0,
brahmas-qb,Brahmas QB,QB,1.0,0.0,,1.0,,,,1.0,64.0,,,,,,27.0,,
brandon-silvers,Brandon Silvers,QB,0.0,1.0,,1.0,,,,3.0,278.0,,,,,,-1.0,,
brycen-alleyne,Brycen Alleyne,RB,,,,,,,,,,,,40.0,4.0,,25.0,,
cj-brewer,C.J. Brewer,DL/DT,,,,,,,,,,,,,,,,,1.0
cedric-byrd,Cedric Byrd,WR,,,,,,,,,,,,39.0,3.0,,,,
chauncey-rivers,Chauncey Rivers,DL,,,,,,,,,,,,,,,,0.5,1.0
cole-mcdonald,Cole McDonald,QB,0.0,1.0,,,,,,,3.0,,,,,,5.0,,
deandre-johnson-2,Deandre Johnson,LB/OLB,,,,,,,,,,,,,,,,,4.0
deontay-burnett,Deontay Burnett,WR,0.0,0.0,,,,,,,,,1.0,31.0,2.0,,,,
fred-brown,Fred Brown,WR,,,,,,,,,,,,6.0,1.0,,,,
jack-coan,Jack Coan,QB,1.0,0.0,,1.0,,,,1.0,64.0,,,,,,27.0,,
jack-koerner,Jack Koerner,SS/DB,,,,,,,,,,,,,,,,,5.0
jacques-patrick,Jacques Patrick,RB,,,,,,,,,,,,,,1.0,36.0,,
john-daka,John Daka,LB/DL,,,,,,,,,,,,,,,,0.5,3.0
jontre-kirklin,Jontre Kirklin,WR,0.0,1.0,,,,,,,,,2.0,77.0,6.0,,,,
jordan-mosley,Jordan Mosley,SS/DB,,,,,,,,,,,,,,,,,1.0
jordan-williams,Jordan Williams,OT/WR/DE/LB/DL/MLB,,,,,,,,,,,,,,,,,7.0
justin-smith,Justin Smith,WR,,,,,,,,,,,,25.0,1.0,,,,
kalen-ballage,Kalen Ballage,RB,,,,,,,,,,,,8.0,1.0,,35.0,,
kary-vincent-jr,Kary Vincent Jr.,CB/DB,,,,,,,1.0,,,,,,,,,,1.0
luq-barcoo,Luq Barcoo,CB/DB,0.0,0.0,,,,,2.0,,,,,,,,,,2.0
max-borghi,Max Borghi,RB,,,,,,,,,,,,12.0,4.0,,74.0,,
mike-tverdov,Mike Tverdov,DL,,,,,,,,,,,,,,,,1.0,2.0
nick-holley,Nick Holley,RB/WR,,,,,,,,,,,,8.0,1.0,,,,
paxton-lynch,Paxton Lynch,QB,0.0,0.0,,,,,,,,,,,,,,,
raleigh-texada,Raleigh Texada,DB,,,,,,,1.0,,,,,,,,-1.0,,1.0
riko-jeffers,Riko Jeffers,LB,,,,,,,,,,,,,,,,,5.0
roughnecks-dst,Roughnecks DST,DST,,,,,1.0,,,,,13.0,,,,,,1.0,
roughnecks-k,Roughnecks K,K,,,0.0,,,1.0,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,2.0,,1.0,,,,3.0,281.0,,,,,,4.0,,
tj-vasher,T.J. Vasher,WR,1.0,0.0,,,,,,,,,1.0,9.0,1.0,,,,
tavante-beckett,Tavante Beckett,LB,,,,,,,,,,,,,,,,,6.0
tenny-adewusi,Tenny Adewusi,DB,,,,,,,,,,,,,,,,,8.0
terrell-bonds,Terrell Bonds,CB/DB,,,,,,,,,,,,,,,,,1.0
travell-harris,Travell Harris,WR,,,,,,,,,,,,48.0,2.0,,,,
travis-jonsen,Travis Jonsen,WR,,,,,,,,,,,,14.0,2.0,,,,
