player_id,player_name,positions,1pt_conversion,blocked_punt,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,,,,,,1.0,36.0,3.0,,,
austin-allen,Austin Allen,RB/TE,,,,,,,,,,,,0.0,13.0,1.0,,,
brahmas-dst,Brahmas DST,DST,,1.0,,1.0,,0.0,,,,,15.0,,,,,,2.0
brahmas-k,Brahmas K,K,,,74.0,,,,,1.0,,,,,,,,,
brahmas-qb,Brahmas QB,QB,1.0,,,,3.0,,,,1.0,164.0,,,,,0.0,5.0,
cody-latimer,Cody Latimer,TE,,,,,,,,,,,,0.0,7.0,1.0,,,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,1.0,,,,,0.0,9.0,1.0,0.0,33.0,
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,0.0,0.0,0.0,0.0,7.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,,0.0,21.0,2.0,0.0,0.0,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,,,1.0,119.0,7.0,,,
john-lovett,John Lovett,RB,,,,,,,,,,,,0.0,13.0,3.0,2.0,95.0,
jonathan-garibay,Jonathan Garibay,K,,,109.0,,,,,,,,,,,,,,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,,,0.0,43.0,6.0,,,
justin-smith,Justin Smith,WR,,,,,,,,,,,,0.0,24.0,2.0,,,
landen-akers,Landen Akers,WR,,,,,,,,,,,,0.0,9.0,1.0,,,
leddie-brown,Leddie Brown,RB,,,,,,,,,,,,0.0,25.0,4.0,0.0,16.0,
lindsey-scott-jr,Lindsey Scott Jr.,QB,,,,,,,,,,-1.0,,,,,,,
luis-perez,Luis Perez,QB,,,,,0.0,,,,1.0,270.0,,,,,,,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,,,0.0,32.0,3.0,0.0,6.0,
morgan-ellison,Morgan Ellison,RB,,,,,,,,,,,,,,,0.0,84.0,
quinten-dormady,Quinten Dormady,QB,1.0,,,,3.0,,,,1.0,164.0,,,,,0.0,5.0,
renegades-dst,Renegades DST,DST,,,,,,3.0,,,,,25.0,,,,,,1.0
renegades-k,Renegades K,K,,,109.0,,,,,,,,,,,,,,
renegades-qb,Renegades QB,QB,,,,,0.0,,,,1.0,270.0,,,,,0.0,0.0,
ryan-santoso,Ryan Santoso,K,,,74.0,,,,,1.0,,,,,,,,,
sal-cannella,Sal Cannella,TE,,,,,,,,,,,,0.0,40.0,6.0,,,
seth-green,Seth Green,TE,,,,,,,,,,,,,,,0.0,3.0,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,,0.0,45.0,5.0,,,
