player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
aakiel-greer,Aakiel Greer,WR,,,,,0.0,26.0,3.0,,
adam-kruse,Adam Kruse,QB,,1.0,0.0,14.0,,,,1.0,17.0
dalton-cole,Dalton Cole,QB,1.0,,5.0,220.0,0.0,-5.0,1.0,1.0,7.0
deshon-williams,Deshon  Williams,WR/TE,,,,,0.0,52.0,5.0,,
josh-meier,Josh Meier,WR,,,,,0.0,18.0,2.0,,
keith-nemasango,Keith Nemasango,RB,,,,,,,,0.0,3.0
kris-lewis,Kris Lewis,WR,,,,,2.0,44.0,4.0,0.0,21.0
ledarian-mcallister,Ledarian Mcallister,WR,,,,,0.0,0.0,1.0,0.0,2.0
maurice-ashley,Maurice Ashley,WR,,,,,0.0,52.0,3.0,1.0,8.0
oregon-qb,OREGON QB,QB,,1.0,5.0,220.0,,,,1.0,7.0
tywon-buckley,Tywon Buckley,WR,,,,,0.0,2.0,1.0,0.0,3.0
washington-qb,WASHINGTON QB,QB,,1.0,0.0,89.0,,,,3.0,48.0
