player_id,player_name,positions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
billings-qb,BILLINGS QB,QB,2.0,2.0,241.0,,,,,15.0
braeden-wingle,Braeden Wingle,QB,,2.0,241.0,,,,,15.0
charles-hall,Charles Hall,WR,,,,,-1.0,1.0,,-2.0
darius-prince,DARIUS PRINCE,WR,,,,1.0,88.0,9.0,0.0,0.0
demarius-washington,Demarius Washington,WR,,,,0.0,21.0,2.0,,
jalen-morton,Jalen Morton,QB,1.0,1.0,97.0,,,,3.0,32.0
jamaar-moore,Jamaar Moore,WR,,,,1.0,61.0,7.0,0.0,1.0
kenneth-brewer,Kenneth Brewer,WR,,,,,92.0,11.0,1.0,1.0
logan-wright,Logan Wright,RB,,,,0.0,3.0,1.0,1.0,16.0
sw-kansas-qb,SW KANSAS QB,QB,1.0,1.0,97.0,,,,3.0,32.0
shiloh-flanagan,Shiloh Flanagan,WR,,,,1.0,74.0,4.0,,
