player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aaron-aiken,Aaron Aiken,QB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
andre-sale,Andre Sale,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,0.0,,
andre-white-jr,Andre White Jr.,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,0.0,,
asi-tupua,Asi Tupua,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,15.0,0.0,62.0,6.0,,,,,,,,0.0,1.0,,,,
blake-erickson,Blake Erickson,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,1.0,0.0,,
brandon-unangst-refused-to-report,Brandon Unangst (Refused to Report),OL,,,,,,,,,,,8.0,43.3,0.0,0.0,390.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0
cj-cain,CJ Cain,OL,,,,,,,,,,2.0,,,,,,,17.0,19.0,0.0,34.0,,,,,,,21.0,45.0,4.0,84.0,4.0,4.0,4.0,1.0,0.0,4.0,,,,,,,,
carlton-watkins,Carlton Watkins,DB,,2.0,33.0,2.0,,,,,,,11.0,34.4,0.0,0.0,275.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
chase-alisauckas,Chase Alisauckas,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,15.0,10.0,2.0,31.0,,,,,,,,
chase-contreraz,Chase Contreraz,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
darrien-crowe,Darrien Crowe,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
devin-groenhagen,Devin Groenhagen,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,24.0,2.0,54.0,5.0,,,,,,,,,,,,,
dren-johnson,Dren Johnson,DB,,,,,,,,,0.0,,,,,,,,,,,,6.0,5.0,,24.0,1.0,51.0,,,,,,2.5,4.0,2.0,1.0,5.0,,,,,,,,
drew-prohaska,Drew Prohaska,RB,,,,,,,,,0.0,,,,,,,,,,,,16.0,10.0,,19.0,1.0,97.0,,,,,,4.6,14.0,5.0,1.0,23.0,,,,,,,,
fred-flavors,Fred Flavors,,0.0,,,,,,,,,3.0,,,,,,,22.7,40.0,0.0,68.0,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
geovonte-howard-injured-reserve,Geovonte Howard (Injured Reserve),DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
jadon-johnson,Jadon Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,12.0,0.0,21.0,2.0,,,,,,,,,,,,,
jalen-hicks,Jalen Hicks,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,3.0,4.0,2.5,0.0,,
james-riddle,James Riddle,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jeff-luc,Jeff Luc,DB/DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
joseph-taylor,Joseph Taylor,QB,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,19.0,15.0,,45.0,7.0,196.0,,,,,,2.9,12.0,10.0,1.0,29.0,,,,,,,,
justin-gilbert,Justin Gilbert,DB,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,7.0,2.0,2.0,3.0,2.0,0.0,,
kimo-naehu,Kimo Naehu,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
klayton-batten,Klayton Batten,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
kyle-griswould,Kyle Griswould,DB,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,5.0,,,,
ladarius-galloway,LaDarius Galloway,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,19.0,3.0,94.0,8.0,,,,,,,,,,,,,
lorenzo-thompson,Lorenzo Thompson,OT/WR,5.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,9.0,1.0,0.0,,
marcus-rogers,Marcus Rogers,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,0.0,14.0,2.0,,,,,,,,,,,,,
miqueal-pillow-smiley,Miqueal Pillow-Smiley,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,10.0,0.0,11.0,2.0,2.0,5.0,2.0,0.0,4.0,,,,,,,,
rudy-silvera,Rudy Silvera,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
rysan-richardson,Rysan Richardson,K,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,4.0,1.0,1.5,11.0,12.0,0.0,18.0,,,0.0,0.0,,,,
sam-hammond,Sam Hammond,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,
tracy-brooks,Tracy Brooks,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
trey-taylor,Trey Taylor,P,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
