player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,forced_fumbles,fumble_recoveries,interceptions,kicking_deuce,kicking_pat,kicking_pat_att,kicking_pat_pct,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
abu-bangura-ii,Abu Bangura II,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0
ammon-lakip,Ammon Lakip,K,,,,,,,,1.0,0.0,0.0,0.0,,,,0.0,1.0,2.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
byron-edwards,BYRON EDWARDS,WR,0.0,,2.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
caden-campoileti,Caden Campoileti,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
dalton-cole,Dalton Cole,QB,,154.0,,,,,,,,,,,,0.0,,,,,13.0,2.0,18.0,13.0,0.0,40.0,0.0,0.0,26.0,0.0,,,,,,,,3.0,9.0,0.0,8.0,0.0,2.0,22.0,,
deshon-williams,Deshon  Williams,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,35.0,0.0,0.0,2.0,43.0,2.0,,,,,,,,,
donte-reed,Donte Reed,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
eric-phoenix,Eric Phoenix,QB,,750.0,,,,,,,,,,,,0.0,,,,,4.0,3.0,39.0,23.0,0.0,156.0,0.0,2.0,69.0,0.0,,,,,,,,,,,,,,,,
eugene-ford,Eugene Ford,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
freddie-booth-lloyd,Freddie Booth-Lloyd,,0.0,,1.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
hassan-kitt,Hassan Kitt,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
isaiah-pedack,Isaiah Pedack,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
jaiave-magalei,Jaiave Magalei,QB,,615.0,,,,,,,,,,,,0.0,,,,,13.0,8.0,40.0,17.0,0.0,138.0,0.0,3.0,139.0,0.0,,,,,,,,1.0,1.0,0.0,2.0,0.0,2.0,2.0,,
justin-olibrice,Justin Olibrice,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,0.0,0.0,1.0,0.0,0.0,-5.0,,
keanu-mailoto,Keanu Mailoto,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
kris-lewis,Kris Lewis,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,0.0,0.0,1.0,34.0,5.0,,,,,,,,,
luis-ferreira,Luis Ferreira,K,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,1.0,5.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
machiah-lee,Machiah Lee,DB,1.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,23.0,23.0,0.0,0.0,0.0,23.0,1.0,,,,,,,,0.0,0.0
marcus-manuel-jr,Marcus Manuel Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,39.0,0.0,0.0,1.0,39.0,1.0,,,,,,,,,
michael-badejo,Michael Badejo,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
nick-brassell,Nick Brassell,,1.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
quintavius-workman,Quintavius Workman,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,19.0,0.0,0.0,0.0,56.0,5.0,,,,,,,,,
robert-mccoy-jr,Robert Mccoy Jr,QB,,278.0,,,,,,,,,,,,3.0,,,,,18.0,5.0,10.0,6.0,0.0,19.0,0.0,1.0,31.0,0.0,,,,,,,,,,,,,,,,
rodney-green-jr,Rodney Green Jr.,WR,0.0,,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
tyler-stevens,Tyler Stevens,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,40.0,0.0,0.0,2.0,47.0,2.0,,,,,,,,,
tywon-buckley,Tywon Buckley,WR,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
