player_id,player_name,positions,assist_tackles,completions,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,pass_attempts,passing_tds,passing_yards,pr_fc,punt_avg,punt_long,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,targets,xp_att_game
adonis-jennings,Adonis Jennings,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,2.0,,,,,7.0,
anthony-denham,Anthony Denham,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,1.0,,,,,6.0,
austin-allen,Austin Allen,RB/TE,,15.0,,,,,,,,,,,,,,,,0.0,,31.0,0.0,114.0,,,,,,,,,,,,1.0,0.0,4.0,,,
austin-rehkow,Austin Rehkow,,,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,0.0,,1.0,0.0,0.0,,41.0,46.0,0.0,205.0,5.0,0.0,1.0,,,,,,,,,
austin-traylor,Austin Traylor,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,1.0,,,,,1.0,
beniquez-brown,Beniquez Brown,DB/LB,4.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,6.0,,
branden-oliver,Branden Oliver,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.0,2.0,14.0,0.0,59.0,,2.0,
cj-smith,CJ Smith,DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
casey-sayles,Casey Sayles,DB/DT,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
chris-odom,Chris Odom,DB/DL/DE/DT,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
cody-brown,Cody Brown,DB/S/SAF,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
colton-schmidt,Colton Schmidt,DB,,,,,,,,,,,,,,,,,,,,,,,,41.6,52.0,1.0,291.0,7.0,0.0,3.0,,,,,,,,,
connor-davis,Connor Davis,WR/TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,2.0,,,,,4.0,
devozea-felton,DeVozea Felton,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,2.0,,,,,3.0,
demorney-pierson-el,De\'Morney Pierson-El,WR,,,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,0.0,28.0,4.0,1.0,0.0,14.0,,6.0,
devin-taylor,Devin Taylor,DB,4.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
eddy-wilson-ii,Eddy Wilson II,DB/DT,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
elijah-campbell,Elijah Campbell,DB/S,2.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
gionni-paul,Gionni Paul,DB/LB,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,6.0,,
greer-martini,Greer Martini,DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
henre-toliver,Henre' Toliver,DB,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
ike-spearman,Ike Spearman,DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
jack-tocho,Jack Tocho,DB/SAF,2.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
jacob-hagen,Jacob Hagen,DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,,
jamar-summers,Jamar Summers,DB/CB,2.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,3.0,,
jeremy-faulk,Jeremy Faulk,DB/DL,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
joe-powell,Joe Powell,DB/LB/SAF,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
joel-bouagnon,Joel Bouagnon,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,1.0,11.0,1.0,70.0,,1.0,
johnny-maxey-jr,Johnny Maxey Jr.,DB/DL/DE,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
jonathan-massaquoi,Jonathan Massaquoi,DB/DL,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
jordan-leslie,Jordan Leslie,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,1.0,,,,,2.0,
josh-banderas,Josh Banderas,DB/LB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
karter-schult,Karter Schult,DB,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,6.0,,
ldamian-washington,L\'Damian Washington,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27.0,3.0,,,,,4.0,
ladarius-perkins,LaDarius Perkins,WR/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,2.0,,,,,2.0,
luis-perez,Luis Perez,QB,,24.0,,,,,,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,38.0,0.0,184.0,,,,,,,,,,,,1.0,0.0,4.0,,,
matt-asiata,Matt Asiata,RB,,,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,0.0,4.0,,,
matthew-wells,Matthew Wells,DB/LB,4.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
max-redfield,Max Redfield,DB,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
micah-hannemann,Micah Hannemann,DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
mike-purcell,Mike Purcell,DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
nick-novak,Nick Novak,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
nick-truesdell,Nick Truesdell,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,2.0,,,,,2.0,
quan-bray,Quan Bray,WR/RB,,,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,2.0,,,,,,,,0.0,0.0,0.0,,,,,1.0,
quinton-patton,Quinton Patton,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,44.0,3.0,,,,,7.0,
ricky-haley,Ricky Haley,DB/DL,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,
ryan-white,Ryan White,DB/CB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
sam-mobley,Sam Mobley,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,3.0,
shaheed-salmon,Shaheed Salmon,DB/LB,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
taylor-bertolet,Taylor Bertolet,K,,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
taylor-moton,Taylor Moton,DB/OT,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
tenny-palepoi,Tenny Palepoi,DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,3.0,,
terrell-newby,Terrell Newby,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,1.0,2.0,0.0,0.0,,1.0,
tobais-palmer,Tobais Palmer,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,1.0,,,,,3.0,
trent-richardson,Trent Richardson,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0,6.0,19.0,1.0,41.0,,7.0,
trevor-reilly,Trevor Reilly,DB,3.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,3.0,,
ty-isaac,Ty Isaac,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,2.0,1.0,0.0,2.0,,3.0,
weslye-saunders,Weslye Saunders,WR,,,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,21.0,3.0,,,,,3.0,
will-davis,Will Davis,DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,5.0,,
xzavier-dickson,Xzavier Dickson,DB/LB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,
