player_id,player_name,positions,3pt_pass,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,,,,0.0,0.0,1.0,,,
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,0.0,25.0,3.0,,,
braedon-bowman,Braedon Bowman,WR/TE,,,,,,,,,,0.0,0.0,0.0,,,
brahmas-dst,Brahmas DST,DST,,,1.0,,0.0,,,,12.0,,,,,,6.0
brahmas-k,Brahmas K,K,,77.0,,,,,,,,,,,,,
brahmas-qb,Brahmas QB,QB,1.0,,,1.0,,1.0,0.0,180.0,,,,,0.0,9.0,
calvin-turner,Calvin Turner,RB/WR,,,,,,,,,,0.0,0.0,0.0,,,
cody-latimer,Cody Latimer,TE,1.0,,,,,,,,,0.0,20.0,1.0,,,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,,0.0,11.0,2.0,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,0.0,14.0,1.0,,,
jj-molson,J.J. Molson,K,,162.0,,,,,,,,,,,,,
jarrett-guarantano,Jarrett Guarantano,QB,,,,0.0,,,0.0,121.0,,,,,0.0,14.0,
john-lovett,John Lovett,RB,,,,,,1.0,,,,0.0,28.0,5.0,1.0,37.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,0.0,40.0,3.0,0.0,0.0,
justin-hall,Justin Hall,WR,,,,,,,,,,0.0,69.0,5.0,,,
justin-smith,Justin Smith,WR,,,,,,,,,,0.0,0.0,0.0,,,
kd-cannon,K.D. Cannon,WR,,,,,,,,,,0.0,0.0,0.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,0.0,19.0,2.0,,,
kevin-hogan,Kevin Hogan,QB,1.0,,,0.0,,,0.0,38.0,,,,,0.0,3.0,
landen-akers,Landen Akers,WR,,,,,,,,,,0.0,72.0,3.0,,,
mark-thompson,Mark Thompson,RB,,,,,,,,,,0.0,0.0,0.0,0.0,38.0,
marquez-stevenson,Marquez Stevenson,WR,,,,,,1.0,,,,0.0,20.0,2.0,0.0,2.0,
morgan-ellison,Morgan Ellison,RB,,,,,,,,,,,,,0.0,25.0,
quinten-dormady,Quinten Dormady,QB,,,,1.0,,1.0,0.0,142.0,,,,,0.0,6.0,
reggie-roberson-jr,Reggie Roberson Jr.,WR,,,,,,1.0,,,,,,,,,
reid-sinnett,Reid Sinnett,QB,,,,0.0,,,0.0,17.0,,,,,,,
roughnecks-dst,Roughnecks DST,DST,,,3.0,,1.0,,,,15.0,,,,,,2.0
roughnecks-k,Roughnecks K,K,,162.0,,,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,,,0.0,,,0.0,138.0,,,,,0.0,14.0,
ryan-santoso,Ryan Santoso,K,,77.0,,,,,,,,,,,,,
tj-pledger-iv,T.J. Pledger IV,RB,,,,,,,,,,,,,0.0,30.0,
