player_id,player_name,positions,conversions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-mccarron,AJ McCarron,QB,2.0,,,0.0,,,1.0,152.0,,,,,1.0,21.0,
alize-mack,Alize Mack,TE,,,,,,,,,,1.0,2.0,1.0,,,
andre-szmyt,Andre Szmyt,K,,144.0,,,,,,,,,,,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,0.0,24.0,3.0,1.0,39.0,
battlehawks-dst,Battlehawks DST,DST,,,,,0.0,,,,24.0,,,,,,0.0
battlehawks-k,Battlehawks K,K,,144.0,,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,2.0,,,0.0,,,1.0,152.0,,,,,1.0,21.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,0.0,0.0,0.0,,,
brahmas-dst,Brahmas DST,DST,,,1.0,,0.0,,,,31.0,,,,,,2.0
brahmas-k,Brahmas K,K,,67.0,,,,,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,,,0.0,,,1.0,143.0,,,,,0.0,10.0,
chase-garbers,Chase Garbers,QB,,,,0.0,,,1.0,143.0,,,,,0.0,10.0,
cody-latimer,Cody Latimer,TE,,,,,,,,,,0.0,58.0,7.0,,,
darrius-shepherd,Darrius Shepherd,WR,,,,,,,,,,0.0,19.0,3.0,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,1.0,87.0,6.0,,,
jacob-saylors,Jacob Saylors,RB,1.0,,,,,,,,,0.0,11.0,1.0,1.0,62.0,
jake-sutherland,Jake Sutherland,WR/TE,1.0,,,,,,,,,0.0,1.0,1.0,,,
jamarcus-bradley,Jamarcus Bradley,WR,,,,,,1.0,,,,0.0,7.0,2.0,,,
john-lovett,John Lovett,RB,,,,,,,,,,0.0,2.0,1.0,1.0,41.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,15.0,,0.0,52.0,8.0,,,
justin-smith,Justin Smith,WR,,,,,,,,,,0.0,7.0,3.0,,,
kemari-averett,Kemari Averett,TE,,,,,,,,,,0.0,19.0,2.0,,,
marcell-ateman,Marcell Ateman,WR,,,,,,,,,,0.0,3.0,1.0,,,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,0.0,13.0,4.0,,,
mataeo-durant,Mataeo Durant,RB,,,,,,,,,,0.0,5.0,3.0,0.0,30.0,
ryan-santoso,Ryan Santoso,K,,67.0,,,,,,,,,,,,,
