player_id,player_name,positions,fumble_recoveries,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,rushing_tds,rushing_yards
brian-smith,Brian Smith,WR,,,,,0.0,21.0,,
damecio-ewing,Damecio Ewing,WR,0.0,,,,,,,
deion-mcshane,Deion McShane,WR,,,,,0.0,84.0,1.0,13.0
deon-cook,Deon Cook,WR,0.0,,,,2.0,26.0,,
derrick-rose,Derrick Rose,WR,0.0,,,,,,,
fred-payton,Fred Payton,QB,1.0,1.0,3.0,194.0,,,1.0,61.0
glen-gibbons-jr,Glen Gibbons Jr.,WR,0.0,,,,1.0,73.0,,
gourney-sloan,Gourney Sloan,WR,,,,,0.0,28.0,0.0,2.0
jaron-waters,Jaron Waters,WR,,,,,,,0.0,2.0
kj-smith,KJ Smith,RB,,,,,0.0,11.0,0.0,11.0
shen-butler-lawson,Shen Butler-Lawson,RB,,,,,,,0.0,9.0
tamorrion-terry,Tamorrion Terry,WR,,,,,1.0,57.0,0.0,0.0
tavion-thomas,Tavion Thomas,RB,,,,,0.0,4.0,0.0,7.0
