player_id,player_name,positions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,,,0.0,6.0,1.0,,,
antwane-wells,Antwane Wells,WR,,,,,,,,,0.0,27.0,2.0,,,
columbus-aviators-dst,COLUMBUS AVIATORS DST,DST/K,1.0,105.0,,,0.0,,,23.0,,,,,,4.0
columbus-aviators-qb,COLUMBUS AVIATORS QB,QB,,,,0.0,,0.0,212.0,,,,,0.0,30.0,
chris-rowland,Chris Rowland,WR,,,,,,,,,1.0,28.0,4.0,0.0,28.0,
elijah-dotson,Elijah Dotson,RB,,,,,,,,,0.0,46.0,3.0,0.0,30.0,
elijhah-badger,Elijhah Badger,WR,,,,,,,,,0.0,127.0,4.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,0.0,14.0,2.0,,,
jack-plummer,Jack Plummer,QB,,,,0.0,,1.0,240.0,,,,,0.0,11.0,
jalan-mcclendon,Jalan McClendon,QB,,,,0.0,,0.0,212.0,,,,,0.0,30.0,
jashaun-corbin,Jashaun Corbin,RB,,,,,,,,,0.0,7.0,2.0,2.0,66.0,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,0.0,22.0,1.0,,,
john-lovett,John Lovett,RB,,,,,,,,,0.0,0.0,0.0,0.0,12.0,
kj-hamler,KJ Hamler,WR,,,,,,,,,0.0,28.0,3.0,0.0,4.0,
keke-chism,Keke Chism,WR,,,,,,,,,0.0,14.0,2.0,,,
konner-fox,Konner Fox,TE,,,,,,,,,0.0,4.0,1.0,,,
matt-corral,Matt Corral,QB,,,,0.0,,1.0,208.0,,,,,0.0,3.0,
michael-lantz,Michael Lantz,K,2.0,55.0,,,,,,,,,,,,
orlando-storm-dst,ORLANDO STORM DST,DST,,,1.0,,0.0,,,16.0,,,,,,3.0
orlando-storm-k,ORLANDO STORM K,K,2.0,55.0,,,,,,,,,,,,
orlando-storm-qb,ORLANDO STORM QB,QB,,,,0.0,,1.0,240.0,,,,,0.0,11.0,
tay-martin,Tay Martin,WR,,,,,,,,,0.0,86.0,7.0,,,
toa-taua,Toa Taua,RB,,,,,,,,,0.0,12.0,2.0,0.0,30.0,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,0.0,8.0,2.0,1.0,48.0,
