player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
andre-sale,Andre Sale,QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,5.0,,,,
andre-white-jr,Andre White Jr.,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,6.0,,,,
asi-tupua,Asi Tupua,DL,,,,,,,,,,,,,,,,1.0,,,,,,,9.0,9.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,
away-jefferson,Away Jefferson,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,17.0,1.0,42.0,4.0,,,,,,1.0,1.0,1.0,0.0,,
ben-derby,Ben Derby,K,0.0,,,2.0,13.0,1.0,,1.0,0.0,,,,,,,,7.0,36.3,0.0,2.0,290.0,8.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,5.0,4.0
blake-erickson,Blake Erickson,K,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,4.0,7.0,,,,
brian-price,Brian Price,LB,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
cj-cain,CJ Cain,OL,,,,,,,,,,,,,,,,1.0,,,,,,,11.0,11.0,0.0,11.0,,,,,,,8.7,19.0,0.0,52.0,6.0,,,,,,,,,,,
carlton-watkins,Carlton Watkins,DB,,,,3.0,30.0,1.0,,,,,,,,,,,7.0,45.0,0.0,2.0,360.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0
chase-alisauckas,Chase Alisauckas,LB,0.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,17.0,1.0,24.0,3.0,5.1,12.0,12.0,1.0,61.0,0.0,0.0,,,,
darrien-crowe,Darrien Crowe,K,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,4.0,,,,
david-brown-jr,David Brown Jr.,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,
devery-smith,Devery Smith,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
devin-groenhagen,Devin Groenhagen,DL,,,,,,,,,,1.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,12.8,29.0,2.0,77.0,6.0,1.3,3.0,3.0,1.0,4.0,,,,,1.0,1.0
drew-prohaska,Drew Prohaska,RB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,22.0,13.0,,29.0,3.0,142.0,,,,,,4.0,8.0,7.0,2.0,28.0,,,,,,
droell-greene,Droell Greene,DB/WR/DB,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,26.0,16.0,,19.0,2.0,155.0,,,,,,-1.0,0.0,2.0,0.0,-2.0,,,,,,
