player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
charles-hall,Charles Hall,WR,,,,,2.0,108.0,4.0,,5.0
dalton-cole,Dalton Cole,QB,1.0,,3.0,258.0,,,,2.0,44.0
demarius-washington,Demarius Washington,WR,,,,,2.0,99.0,5.0,,
ethan-skarmas,Ethan Skarmas,RB,,,,,,,,0.0,2.0
jalen-morton,Jalen Morton,QB,2.0,,4.0,227.0,,,,1.0,33.0
kris-lewis,Kris Lewis,WR,,,,,0.0,84.0,5.0,,
logan-wright,Logan Wright,RB,,,,,,,,1.0,37.0
marquis-sampson,Marquis Sampson,WR,,,,,1.0,45.0,6.0,,6.0
maurice-ashley,Maurice Ashley,WR,,,,,1.0,57.0,5.0,,
nikolas-brassell,Nikolas Brassell,WR,,,,,,,,,7.0
oregon-qb,OREGON QB,QB,,1.0,3.0,258.0,,,,2.0,44.0
parker-lapsley,Parker Lapsley,RB,,,,,,,,0.0,2.0
richy-anderson,Richy Anderson,WR,,,,,,33.0,3.0,,
sw-kansas-qb,SW KANSAS QB,QB,,2.0,4.0,227.0,,,,1.0,33.0
shiloh-flanagan,Shiloh Flanagan,WR,,,,,0.0,20.0,1.0,,
