player_id,player_name,positions,fg_made,pass_td,pat_made,recv_td,rush_td
ben-pister,Ben Pister,DL,,,,,1.0
brandon-munoz,Brandon Munoz,DL,,2.0,,1.0,
dayjure-stewart,Dayjure Stewart,RB,,,,,1.0
desmond-raiford,Desmond Raiford,DL,3.0,,,,
justin-clarkson,Justin Clarkson,WR,,1.0,,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,2.0,1.0,,
luiz-ferreira,Luiz Ferreira,K,,,,2.0,
nashawn-jackson,Nashawn Jackson,OL,,,,2.0,
otis-odom,Otis Odom,WR,,,,,1.0
