player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
antonio-rueda,Antonio Rueda,P,1.0,2.0,,41.0,49.0,0.0,0.0,2.0,,,,52.0,3.0,61.0,244.0
avi-taylor,Avi Taylor,P,,,,12.0,10.0,,2.0,1.0,,,,12.0,,104.0,44.0
ben-hoffman,Ben Hoffman,P,1.0,2.0,,14.0,13.0,,1.0,2.0,,3.0,,14.0,1.0,71.0,46.0
chad-yorgason,Chad Yorgason,P,1.0,2.0,1.0,18.0,16.0,,4.0,,,7.0,,17.0,1.0,172.0,124.0
devon-terry,Devon Terry,P,,1.0,,9.0,8.0,,2.0,,,,,8.0,,86.0,76.0
elijah-jaime,Elijah Jaime,P,1.0,,,13.0,11.0,,2.0,,,,,11.0,,169.0,32.0
eugene-lheureux,Eugene L\'Heureux,P,1.0,,,9.0,13.0,,,1.0,,13.0,1.0,15.0,2.0,-12.0,136.0
genichi-nakano,Genichi Nakano,P,0.0,,,18.0,16.0,,1.0,,,,0.0,17.0,0.0,133.0,165.0
grant-lindsley,Grant Lindsley,P,4.0,,,35.0,39.0,,,,1.0,,,39.0,,88.0,334.0
ian-sweeney,Ian Sweeney,P,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
jared-johnson,JARED JOHNSON,RB/FB/OT/WR/P,4.0,,,63.0,71.0,,1.0,1.0,4.0,,,81.0,6.0,203.0,443.0
jace-duennebeil,Jace Duennebeil,P,,,,11.0,6.0,,5.0,1.0,,,,6.0,,144.0,31.0
jacob-jahnke,Jacob Jahnke,P,2.0,,,12.0,11.0,,1.0,,,,,11.0,,141.0,96.0
jacob-miller,Jacob Miller,P,3.0,,,29.0,28.0,,1.0,3.0,,,,28.0,,195.0,160.0
joel-caswell,Joel Caswell,P,,,,6.0,5.0,,,,,,,5.0,,74.0,6.0
jonny-hoffman,Jonny Hoffman,P,2.0,,,7.0,6.0,,,3.0,,,,7.0,,55.0,34.0
jordan-kerr,Jordan Kerr,P,7.0,,,20.0,22.0,,4.0,2.0,,,,23.0,1.0,250.0,123.0
keven-marshall,Keven Marshall,P,,,,1.0,1.0,,,,,,,2.0,1.0,4.0,-2.0
kyle-weinberg,Kyle Weinberg,P,1.0,2.0,,14.0,14.0,,2.0,,,4.0,,14.0,,117.0,69.0
logan-clarke,Logan Clarke,P,2.0,1.0,,11.0,10.0,,,1.0,1.0,,,11.0,,103.0,93.0
lucas-henry,Lucas Henry,P,0.0,2.0,,9.0,8.0,,0.0,1.0,,,,10.0,,114.0,20.0
luke-yorgason,Luke Yorgason,P,,,,45.0,47.0,,2.0,3.0,,,,47.0,,83.0,361.0
max-dehlin,Max Dehlin,P,,1.0,,21.0,23.0,1.0,2.0,2.0,,4.0,,24.0,1.0,66.0,114.0
michael-giere,Michael Giere,P,,1.0,,14.0,14.0,,1.0,1.0,,,,15.0,1.0,88.0,41.0
nate-knutson,Nate Knutson,P,,,,6.0,4.0,,1.0,1.0,,,,4.0,,115.0,-14.0
patrick-buermeyer,Patrick Buermeyer,P,0.0,0.0,,6.0,4.0,,0.0,,,1.0,,9.0,,17.0,-17.0
quinn-buermeyer,Quinn Buermeyer,P,,,,28.0,28.0,,1.0,0.0,0.0,,,35.0,7.0,36.0,125.0
ryan-wolfe,Ryan Wolfe,P,1.0,,,21.0,15.0,1.0,2.0,1.0,,1.0,,19.0,4.0,160.0,35.0
sam-gordon-koven,Sam Gordon-Koven,P,1.0,0.0,,11.0,12.0,,0.0,,0.0,9.0,,20.0,7.0,14.0,168.0
sean-connole,Sean Connole,P,1.0,,,31.0,32.0,,1.0,6.0,1.0,,,32.0,,224.0,156.0
tony-mounga,Tony Mounga,P,2.0,1.0,,9.0,7.0,,2.0,,1.0,,,7.0,,70.0,112.0
will-selfridge,Will Selfridge,P,1.0,1.0,,12.0,14.0,1.0,,2.0,,,,14.0,,97.0,96.0
