player_id,player_name,positions,4pt_fg,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,,,,,0.0,0.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,0.0,6.0,1.0,,,
brandon-silvers,Brandon Silvers,QB,,,,0.0,,,1.0,198.0,,,,,0.0,-2.0,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,,0.0,0.0,0.0,,,
briley-moore,Briley Moore,TE,,,,,,,,,,0.0,2.0,1.0,,,
defenders-dst,Defenders DST,DST,,,,,0.0,,,,16.0,,,,,,3.0
defenders-k,Defenders K,K/QB,1.0,,60.0,2.0,,1.0,0.0,123.0,,,,,0.0,16.0,
deon-jackson,Deon Jackson,RB,,,,,,,,,,0.0,0.0,1.0,1.0,57.0,
frank-darby,Frank Darby,WR,,,,,,,,,,0.0,15.0,1.0,,,
gary-jennings,Gary Jennings,WR,,,,,,,,,,0.0,64.0,1.0,,,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,0.0,19.0,3.0,,,
james-bostic,James Bostic,WR/TE,,,,,,,,,,0.0,5.0,1.0,,,
jarveon-howard,Jarveon Howard,RB,,,,,,,,,,0.0,24.0,4.0,0.0,45.0,
jason-bean,Jason Bean,QB,,,,2.0,,,1.0,226.0,,,,,0.0,27.0,
jordan-taamu,Jordan Ta\'amu,QB,,,,2.0,,,0.0,123.0,,,,,0.0,16.0,
keke-coutee,Keke Coutee,WR,,,,,,,,,,0.0,11.0,1.0,,,
kevon-latulas,Kevon Latulas,RB,,,,,,,,,,0.0,61.0,3.0,0.0,23.0,
mason-fairchild,Mason Fairchild,TE,,,,,,,,,,0.0,24.0,1.0,,,
matt-mccrane,Matt McCrane,K,1.0,,60.0,,,1.0,,,,,,,,,
rahjai-harris,Rahjai Harris,RB,,,,,,,,,,0.0,-6.0,1.0,0.0,-2.0,
st-louis-battlehawks-dst,ST. LOUIS BATTLEHAWKS DST,K/DST,,1.0,110.0,,2.0,1.0,,,10.0,,,,,,7.0
st-louis-battlehawks-qb,ST. LOUIS BATTLEHAWKS QB,QB,,,,0.0,,,1.0,198.0,,,,,0.0,-2.0,
seth-williams,Seth Williams,WR,,,,,,,,,,0.0,51.0,3.0,,,
steven-mcbride,Steven McBride,WR,,,,,,,,,,0.0,0.0,0.0,,,
tucker-mccann,Tucker McCann,K,,1.0,110.0,,,1.0,,,,,,,,,
ty-scott,Ty Scott,WR,,,,,,,,,,0.0,35.0,2.0,,,
tyler-neville,Tyler Neville,TE,,,,,,,,,,1.0,10.0,1.0,,,
