player_id,player_name,positions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,safety
adrian-martinez,Adrian Martinez,QB,,,0.0,,1.0,2.0,334.0,,,,,1.0,44.0,,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,0.0,0.0,0.0,,,,
binjimen-victor,Binjimen Victor,WR,,,,,,,,,0.0,16.0,1.0,,,,
cj-marable,CJ Marable,RB,,,,,,,,,0.0,10.0,2.0,0.0,19.0,,
case-cookus,Case Cookus,QB,,,0.0,,,1.0,139.0,,,,,0.0,1.0,,
chris-blewitt,Chris Blewitt,K,111.0,,,,,,,,,,,,,,
daewood-davis,Daewood Davis,WR,,,,,,,,,0.0,13.0,2.0,0.0,2.0,,
darius-victor,Darius Victor,RB,,,,,,,,,0.0,25.0,3.0,0.0,-1.0,,
dee-anderson,Dee Anderson,WR,,,,,,,,,0.0,27.0,2.0,,,,
deon-cain,Deon Cain,WR,,,,,,,,,0.0,144.0,7.0,,,,
diondre-overton,Diondre Overton,WR,,,,,,,,,0.0,1.0,1.0,,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,1.0,73.0,4.0,,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,0.0,49.0,6.0,,,,
lee-morris,Lee Morris,WR,,,,,,,,,0.0,9.0,1.0,,,,
marlon-williams,Marlon Williams,WR,,,,,,,,,1.0,41.0,1.0,,,,
matt-coghlin,Matt Coghlin,K,91.0,,,,,,,,,,,,,,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,0.0,39.0,2.0,1.0,37.0,,
showboats-k,SHOWBOATS K,K,91.0,,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,1.0,,,1.0,239.0,,,,,0.0,3.0,,
sage-surratt,Sage Surratt,TE,,,,,,,,,0.0,40.0,4.0,,,,
showboats-dst,Showboats DST,DST,,1.0,,0.0,,,,33.0,,,,,,3.0,1.0
stallions-dst,Stallions DST,DST,,,,1.0,,,,12.0,,,,,,8.0,
stallions-k,Stallions K,K,111.0,,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,,0.0,,1.0,2.0,334.0,,,,,1.0,44.0,,
titus-swen,Titus Swen,RB,,,,,,,,,0.0,37.0,4.0,0.0,10.0,,
troy-williams,Troy Williams,QB,,,1.0,,,0.0,100.0,,,,,0.0,2.0,,
vinny-papale,Vinny Papale,WR,,,,,,,,,1.0,38.0,3.0,,,,
