player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-brown,A.J. Brown,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.5,0.0,,
aleki-tapa,Aleki Tapa,OL,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,27.0,16.0,,22.0,2.0,147.0,,,,,,0.7,4.0,3.0,1.0,2.0,,,0.0,2.0,,,,
ben-key,Ben Key,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.5,0.0,,
brandon-sheperd,Brandon Sheperd,,4.0,1.0,0.0,,,,,,,,,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,,,,
brian-robinson,Brian Robinson,RB/WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0,,
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,2.0,0.0,,
charles-reid,Charles Reid,DB,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,8.0,5.0,,22.0,1.0,46.0,,,,,,-4.5,0.0,2.0,0.0,-9.0,,,1.0,1.0,,,,
deandre-brown,Deandre Brown,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,6.0,1.0,0.0,,
devond-blair-jr,Devond Blair Jr.,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,22.0,0.0,27.0,2.0,,,,,,,,,,,,,
dominique-shoffner,Dominique Shoffner,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,29.0,2.0,56.0,4.0,4.0,4.0,1.0,0.0,4.0,,,0.0,1.0,,,,
dreko-statham,Dreko Statham,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,,
everitt-cunningham,Everitt Cunningham,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,19.0,2.0,45.0,5.0,,,,,,,,1.0,2.0,,,,
greg-thomas-jr,Greg Thomas Jr,DB,1.0,,,,,,,,,,,,,,,3.0,,,,,,,11.3,15.0,0.0,34.0,,,,,,,12.9,37.0,2.0,90.0,7.0,-1.0,0.0,2.0,0.0,-2.0,,,0.0,1.0,,,,
jack-robinson,Jack Robinson,DL,,,,1.0,26.0,1.0,,,,,,,,,,,6.0,50.0,0.0,0.0,250.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0
jaden-sutton,Jaden Sutton,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
jamarii-milliken,Jamarii Milliken,DB/LB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,20.0,16.0,,37.0,3.0,218.0,,,,,,-0.3,4.0,6.0,0.0,-2.0,,,,,,,,
jaqae-alfred,Jaqae Alfred,DB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,23.0,0.0,23.0,,,,,,,,,,,,,,,,,,
jaylin-clark-mcnatte,Jaylin Clark-Mcnatte,WR,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,1.0,,22.0,1.0,22.0,,,,,,8.0,8.0,1.0,0.0,8.0,,,,,,,,
jo-el-shaw,Jo-El Shaw,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,5.2,14.0,5.0,2.0,26.0,,,,,,,,
jonathan-cardoza-chicas,Jonathan Cardoza-Chicas,K,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.5,0.0,,
jordan-barton,Jordan Barton,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,6.0,1.0,0.0,,
kendrick-washington,Kendrick Washington,DL/OL/DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
kevin-simmons,Kevin Simmons,DB,0.0,,,,,,,,,,,,,,,1.0,,,,,,,20.0,20.0,0.0,20.0,,,,,,,8.0,13.0,0.0,40.0,5.0,3.8,10.0,8.0,1.0,30.0,,,1.0,1.0,,,,
khalil-steward-injured-reserve,Khalil Steward (Injured Reserve),DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0,0.0,1.0,0.0,-20.0,,,,,,,,
khalil-trotman,Khalil Trotman,QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,0.5,0.0,,
levonta-hall,Levonta Hall,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,23.0,0.0,55.0,5.0,,,,,,,,0.0,1.0,,,,
