player_id,player_name,positions,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
alijah-holder,Alijah Holder,FS/S/DB,,,,,3.0,,,,,,,,,3.0
andrew-jamiel,Andrew Jamiel,WR,,,,,,,,,10.0,1.0,,,,
antoine-brooks,Antoine Brooks,DB/CB,,,,,,,,,,,,,0.5,10.0
austin-faoliu,Austin Faoliu,DL/DT,,,,,1.0,,,,,,,,,1.0
ben-dinucci,Ben DiNucci,QB,,1.0,,,,2.0,177.0,,,,,43.0,,
blake-jackson,Blake Jackson,WR,,,,,,,,1.0,79.0,6.0,,,,
caevon-patton,Caevon Patton,DL/DE,,,,,,,,,,,,,,4.0
charleston-rambo,Charleston RAMBO,WR,,,,,,,,,54.0,6.0,,,,
chris-jones,Chris Jones,DB/DT,,,,,2.0,,,,,,,,,6.0
cody-latimer,Cody Latimer,TE,,,,,,,,,59.0,5.0,,,,
damion-willis,Damion Willis,WR,,,,,,,,,8.0,1.0,,,,
darius-bradwell,Darius Bradwell,RB,,,,,,,,,,,,32.0,,
deddrick-thomas,Deddrick Thomas,WR,,,,,,,,,10.0,2.0,,,,
devin-darrington,Devin Darrington,RB,,,,1.0,,,,,13.0,1.0,2.0,82.0,,
eli-rogers,Eli Rogers,WR,,,,,,,,,40.0,3.0,,,,
elijah-ponder,Elijah Ponder,DL/LB,,,,,1.0,,,,,,,,0.5,3.0
gerald-willis,Gerald Willis,DL,,,,,,,,,,,,,,3.0
guardians-dst,Guardians DST,DST,,,1.0,,,,,,,,,,1.0,
guardians-qb,Guardians QB,QB,,,,,,,243.0,,,,,43.0,,
jacoby-jones,Jacoby Jones,DL,,,,,,,,,,,,,,1.0
jah-maine-martin,Jah-Maine Martin,RB,,,,,,,,,11.0,1.0,,37.0,,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,18.0,4.0,,,,
jordan-veasy,Jordan Veasy,WR,,,,,,,,,22.0,2.0,,,,
juwan-green,Juwan Green,WR,,,,,,,,1.0,50.0,5.0,,,,
marcus-murphy-2,Marcus Murphy,DB,,,,,,,,,,,,,,1.0
matt-elam,Matt Elam,DB,,,,,1.0,,,,,,,,,1.0
mykael-wright,Mykael Wright,DB,,,,,,,,,,,,,,3.0
najeem-hosein,Najeem Hosein,DB,,,1.0,,2.0,,,,,,,,,4.0
nick-coe,Nick Coe,DL,,,,,,,,,,,,,,1.0
niko-lalos,Niko Lalos,DL/DE,,,,,,,,,,,,,,1.0
quinten-dormady,Quinten Dormady,QB,,,,,,,243.0,,,,,43.0,,
qwynnterrio-cole,Qwynnterrio Cole,FS/DB,,,,1.0,,,,,,,,,,6.0
rojesterman-farris,Rojesterman Farris,DB,1.0,,,,,,,,,,,,,5.0
sea-dragons-dst,Sea Dragons DST,DST,,,,,,,,,,,,,2.0,
sea-dragons-qb,Sea Dragons QB,QB,,1.0,,,,2.0,177.0,,,,,43.0,,
shaquille-wiggins,Shaquille Wiggins,DB,,,,,2.0,,,,,,,,,2.0
stansly-maponga,Stansly Maponga,DL/DB,,,,,,,,,,,,,,3.0
tj-hammonds,T.J. Hammonds,WR,,,,,,,,,,,,3.0,,
terrance-plummer,Terrance Plummer,LB,,,,,,,,,,,,,1.0,2.0
terrance-smith,Terrance Smith,LB,,,,,,,,,,,,,,4.0
tre-walker-2,Tre Walker,LB,,,,,,,,,,,,,,4.0
tuzar-skipper,Tuzar Skipper,OLB/LB,,,,,,,,,,,,,,1.0
zafir-kelly,Zafir Kelly,DB,,,,,1.0,,,,,,,,1.0,5.0
