player_id,player_name,positions,1pt_conversion,3pt_pass,conversions,field_goal_yards,fumble_recoveries,lost_fumbles,missed,pass_defended,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-mccarron,AJ McCarron,QB,0.0,,1.0,,,,,,1.0,184.0,,,,,1.0,41.0,,
antoine-brooks,Antoine Brooks,DB/CB,,,,,,,,,,,,,,,,,,9.0
antwuan-jackson,Antwuan Jackson,DL/DT,,,,,,,,,,,,,,,,,,1.0
austin-faoliu,Austin Faoliu,DL/DT,,,,,,,,1.0,,,,,,,,,,2.0
austin-proehl,Austin Proehl,WR,,,,,,,,,,,,,37.0,4.0,,,,
battlehawks-dst,Battlehawks DST,DST,,,,,1.0,,,,,,18.0,,,,,,,
battlehawks-k,Battlehawks K,K,,,,88.0,,,2.0,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,,,1.0,,,,,,1.0,184.0,,,,,1.0,41.0,,
ben-deluca,Ben Deluca,DB/FS,,,,,,,,1.0,,,,,,,,,,2.0
ben-dinucci,Ben DiNucci,QB,,1.0,,,,1.0,,,2.0,196.0,,,,,,38.0,,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,,26.0,5.0,,,,
brenden-knox,Brenden Knox,RB,,,,,,,,,,,,,,,,15.0,,
charlie-taumoepeau,Charlie Taumoepeau,TE,,,,,,,,,,,,,9.0,1.0,,,,
chris-jones,Chris Jones,DB/DT,,,,,,,,1.0,,,,,,,,,,
damion-willis,Damion Willis,WR,,,,,,,,,,,,,13.0,2.0,,,,
daniel-joseph,Daniel Joseph,DL,,,,,,,,,,,,,,,,,,1.0
darrius-shepherd,Darrius Shepherd,WR,,,,,,,,,,,,,12.0,3.0,,,,
dominik-eberle,Dominik Eberle,K,,,,29.0,,,0.0,,,,,,,,,,,
donald-hageman,Donald Hageman,K,,,,88.0,,,2.0,,,,,,,,,,,
elijah-hamilton,Elijah Hamilton,DB,,,,,,,,,,,,,,,,,,1.0
elijah-ponder,Elijah Ponder,LB/DL,,,,,,,,,,,,,,,,,0.5,3.0
elorm-lumor,Elorm Lumor,DE/DL,,,,,,,,,,,,,,,,,,2.0
emmanuel-smith-2,Emmanuel Smith,LB,,,,,,,,1.0,,,,,,,,,,10.0
gary-jennings,Gary Jennings,WR,,,,,,,,,,2.0,,,6.0,1.0,,6.0,,
gelen-robinson,Gelen Robinson,DB/DL,,,,,,,,,,,,,,,,,,1.0
george-campbell,George Campbell,WR,,,,,,,,,,,,,11.0,1.0,,,,
hakeem-butler,Hakeem Butler,WR,0.0,,0.0,,,,,,,,,1.0,61.0,4.0,,,,
jahcour-pearson,Jahcour Pearson,WR,,,,,,1.0,,,,,,1.0,78.0,4.0,,,,
jordan-evans,Jordan Evans,LB,,,,,,,,,,,,,,,,,,4.0
jordan-veasy,Jordan Veasy,WR,,,,,,,,,,,,1.0,8.0,1.0,,,,
josh-gordon,Josh Gordon,WR,,1.0,,,,,,,,,,,33.0,1.0,,,,
kareem-walker,Kareem Walker,RB,,,,,,,,,,,,,13.0,2.0,,27.0,,
kevin-atkins,Kevin Atkins,DL/DT,,,,,,,,,,,,,,,,,,1.0
lacale-london,Lacale London,DE/DL,,,,,,,,1.0,,,,,,,,,,3.0
lakiem-williams,Lakiem Williams,LB,,,,,,,,,,,,,,,,,,2.0
linden-stephens,Linden Stephens,DB,,,,,,,,1.0,,,,,,,,,,3.0
lukas-denis,Lukas Denis,DB/S/FS,,,,,,,,,,,,,,,,,,1.0
marcell-ateman,Marcell Ateman,WR,0.0,,1.0,,,,,,,,,,23.0,3.0,,,,
mataeo-durant,Mataeo Durant,RB,,,,,,,,,,,,,21.0,3.0,,34.0,,
mike-hampton,Mike Hampton,DB/CB,,,,,,,,1.0,,,,,,,,,,4.0
mike-rose,Mike Rose,DB/MLB/LB/DL,,,,,,,,,,,,,,,,,,5.0
morgan-ellison,Morgan Ellison,RB,,,,,,1.0,,,,,,,24.0,4.0,,50.0,,
niko-lalos,Niko Lalos,DE/DL,,,,,,,,,,,,,,,,,0.5,6.0
pj-hall,P.J. Hall,DE/DL,,,,,,,,,,,,,,,,,,2.0
qwynnterrio-cole,Qwynnterrio Cole,DB/FS,,,,,,,,,,,,,,,,,,6.0
rojesterman-farris,Rojesterman Farris,DB,,,,,,,,1.0,,,,,,,,,,1.0
sea-dragons-dst,Sea Dragons DST,DST,,,,,,,,,,,20.0,,,,,,3.0,
sea-dragons-k,Sea Dragons K,K,,,,29.0,,,0.0,,,,,,,,,,,
sea-dragons-qb,Sea Dragons QB,QB,,1.0,,,,1.0,,,2.0,196.0,,,,,,38.0,,
sebastian-brandt,Sebastian Brandt,DB/CB,,,,,,,,2.0,,,,,,,,,,5.0
steven-mitchell-jr,Steven Mitchell Jr.,WR,,,,,,,,,,,,,6.0,2.0,,,,
tj-hammonds,T.J. Hammonds,WR,,,,,,,,,,,,,5.0,1.0,,,,
tre-walker-2,Tre Walker,LB,,,,,,,,,,,,,,,,,,7.0
tuzar-skipper,Tuzar Skipper,LB/OLB,,,,,,,,,,,,,,,,,1.0,4.0
willie-harvey,Willie Harvey,LB,,,,,,,,,,,,,,,,,,7.0
