player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_30_39,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
alonzo-russell,Alonzo Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,49.0,3.0,,,,,1.0,1.0,3.0
asantay-brown,Asantay Brown,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,
austin-macginnis,Austin MacGinnis,K,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin-walter,Austin Walter,WR,,,,,,,,,,,,1.0,16.0,16.0,,,,,,,,,,,,,,,8.0,1.0,2.0,,13.0,,,,
brandon-reilly,Brandon Reilly,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,1.0,,,,,,,1.0
cameron-artis-payne,Cameron Artis-Payne,RB,,1.0,,,,,,,,,,,,,1.0,,10.0,,,,,,,,,,,,13.0,4.0,2.0,,6.0,,,,
casey-sayles,Casey Sayles,DT/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
channing-ward,Channing Ward,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
christian-kuntz,Christian Kuntz,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
christine-michael,Christine Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,1.0,7.0,,,,,,
dmontre-wade,D'Montre Wade,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
dc-defenders,DC Defenders,,,,,,,,6.0,31.0,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
