player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl,recv_lg,recv_rec,recv_tar,recv_yds
anthony-johnson,Anthony Johnson,,2.0,,1.0,3.0,,,,,
earl-okine,Earl Okine,LB/DB/DL,2.0,1.0,2.0,4.0,12.0,,,,
jalin-marshall,Jalin Marshall,WR,,,,,,15.0,1.0,3.0,15.0
