player_id,player_name,positions,fg_made,rush_td
desmond-raiford,Desmond Raiford,DL,1.0,
jeremiah-flores,Jeremiah Flores,WR,,3.0
josh-jackson,Josh Jackson,P/DL,,1.0
orlando-doss,Orlando Doss,WR,1.0,
vincent-wilkerson,Vincent Wilkerson,,,1.0
