player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
adam-odonnell,Adam O\'Donnell,P,2.0,,,33.0,50.0,,,2.0,1.0,,52.0,1.0,13.0,343.0
adam-turcotte,Adam Turcotte,P,1.0,1.0,,9.0,9.0,1.0,,,,,9.0,,39.0,63.0
alex-thorne,Alex Thorne,P,,,,20.0,22.0,,1.0,1.0,,,23.0,1.0,6.0,22.0
austin-lillis,Austin Lillis,P,,,,1.0,1.0,,,1.0,,1.0,1.0,,16.0,22.0
brandon-pastor,Brandon Pastor,P,1.0,,,2.0,2.0,,,,1.0,,2.0,,26.0,31.0
cj-colicchio,CJ Colicchio,P,4.0,1.0,,16.0,14.0,,1.0,1.0,,,15.0,1.0,153.0,138.0
eric-nardelli,Eric Nardelli,P,1.0,1.0,1.0,4.0,5.0,,1.0,,,,5.0,,-6.0,39.0
eric-witmer,Eric Witmer,P,2.0,1.0,,5.0,6.0,,,,1.0,,6.0,,48.0,113.0
ethan-holmgren,Ethan Holmgren,P,,,,1.0,1.0,,,,,1.0,1.0,,1.0,14.0
gavin-abrahamsson,Gavin Abrahamsson,P,,,,6.0,4.0,,2.0,,,,4.0,,83.0,14.0
geoff-bevan,Geoff Bevan,P,,,,11.0,14.0,,,1.0,,1.0,14.0,,36.0,66.0
greg-martin,Greg Martin,P,2.0,,,17.0,14.0,,2.0,1.0,3.0,,15.0,1.0,122.0,240.0
griffin-mckee,Griffin McKee,P,,1.0,,14.0,11.0,1.0,3.0,,,,11.0,,202.0,71.0
james-carr-pries,James Carr-Pries,P,,,,2.0,1.0,,1.0,,,,1.0,,33.0,4.0
james-lewis,James Lewis,P,4.0,1.0,,31.0,24.0,,4.0,3.0,3.0,,27.0,3.0,386.0,276.0
james-mcclean,James McClean,P,,,,6.0,7.0,,1.0,,,,8.0,1.0,29.0,27.0
james-pollard,James Pollard,P,6.0,,,16.0,14.0,,2.0,3.0,2.0,1.0,15.0,1.0,178.0,227.0
jordan-rhyne,Jordan Rhyne,P,4.0,1.0,,21.0,21.0,,,3.0,4.0,,21.0,,163.0,338.0
justin-keller,Justin Keller,P,,,,6.0,4.0,,,1.0,,,5.0,1.0,34.0,20.0
keith-mcrae,Keith McRae,P,1.0,,,6.0,5.0,,,,,,6.0,1.0,55.0,6.0
kelvin-huang,Kelvin Huang,P,,,,4.0,3.0,,2.0,1.0,,,3.0,,27.0,27.0
luc-comire,Luc Comire,P,2.0,,,41.0,42.0,,2.0,3.0,1.0,,44.0,1.0,332.0,317.0
marc-sands,Marc Sands,P,,,,3.0,3.0,,,1.0,,,3.0,,-3.0,8.0
matt-hanna,Matt Hanna,P,2.0,1.0,,4.0,5.0,,1.0,2.0,1.0,,6.0,1.0,98.0,111.0
max-trifillis,Max Trifillis,P,2.0,,,10.0,8.0,,2.0,,1.0,1.0,8.0,,128.0,111.0
mike-campanella,Mike Campanella,P,,,,4.0,4.0,,1.0,,,,4.0,,4.0,19.0
mike-mackenzie,Mike Mackenzie,P,2.0,1.0,,10.0,11.0,,1.0,1.0,1.0,5.0,11.0,,131.0,121.0
oscar-stonehouse,Oscar Stonehouse,P,,,,6.0,4.0,,1.0,,,,5.0,1.0,64.0,21.0
owen-robinson,Owen Robinson,P,,,,6.0,5.0,,,,,,7.0,2.0,34.0,34.0
paul-owens,Paul Owens,P,1.0,2.0,,18.0,22.0,,,1.0,1.0,19.0,22.0,,50.0,81.0
phil-turner,Phil Turner,P,,2.0,,9.0,10.0,,,2.0,1.0,16.0,10.0,,47.0,109.0
rhys-toogood,Rhys Toogood,P,1.0,,,4.0,6.0,,,,1.0,,6.0,,22.0,58.0
rui-carvalho,Rui Carvalho,P,,1.0,,2.0,1.0,,,,,,2.0,1.0,10.0,11.0
ryan-poloz,Ryan Poloz,P,3.0,,,19.0,20.0,1.0,,3.0,,,21.0,1.0,63.0,121.0
sean-mott,Sean Mott,P,,1.0,,30.0,42.0,,,2.0,1.0,,45.0,3.0,-36.0,131.0
ty-barbieri,Ty Barbieri,P,3.0,,,30.0,20.0,,8.0,1.0,2.0,,23.0,2.0,503.0,201.0
wilkie-lewis,Wilkie Lewis,P,3.0,,,23.0,23.0,,,3.0,3.0,,23.0,,129.0,302.0
zachary-armstrong,Zachary Armstrong,P,1.0,,,4.0,4.0,,,,,3.0,4.0,,42.0,21.0
