player_id,player_name,positions,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
alize-mack,Alize Mack,TE,,,,,,,,,28.0,3.0,,,,
brahmas-dst,Brahmas DST,DST,,,,,,,,,,,,,3.0,
brahmas-qb,Brahmas QB,QB,,1.0,,1.0,,1.0,211.0,,,,,7.0,,
brandon-dillon,Brandon Dillon,TE,,,,,,,,,12.0,2.0,,,,
brian-burt,Brian Burt,RB,,,,,,,,,10.0,1.0,,6.0,,
cj-avery,C.J. Avery,LB,,,,,,,,,,,,,,10.0
cam-sutton,Cam Sutton,TE,,,,,,,,,9.0,2.0,,,,
cinque-sweeting,Cinque Sweeting,WR,,,,,,,,,-1.0,1.0,,3.0,,
dj-calhoun,D.J. Calhoun,LB,,,,,,,,,,,,,,2.0
delontae-scott,Delontae Scott,DL/OLB,,,,,1.0,,,,,,,,1.5,7.0
deon-yelder,Deon Yelder,TE,,,,,,,,,8.0,1.0,,,,
deontay-anderson,Deontay Anderson,DB/SAF,,,1.0,,1.0,,,,,,,,,2.0
drew-beesley,Drew Beesley,DL/DE,,,,,,,,,,,,,1.5,5.0
fred-brown,Fred Brown,WR,,,,,,,,1.0,22.0,2.0,,,,
geronimo-allison,Geronimo Allison,WR,,,,,,,,,49.0,3.0,,,,
jack-koerner,Jack Koerner,DB/SS,,,,,,,,,,,,,,4.0
jacques-patrick,Jacques Patrick,RB,,,,,,,,,45.0,4.0,,20.0,,
jalan-mcclendon,Jalan McClendon,QB,,,,,,2.0,264.0,,,,,25.0,,
jawon-pass,Jawon Pass,QB,,,,,,,32.0,,,,,,,
jeff-badet,Jeff Badet,WR,,,,,,,,,31.0,2.0,,,,
john-lovett,John Lovett,RB,,,,,,,,,,,1.0,17.0,,
jon-hilliman,Jon Hilliman,RB,,,,,,,,,24.0,6.0,,3.0,,
jordan-williams,Jordan Williams,DL/OT/DE/LB/MLB/DB,,,,,,,,,,,,,,11.0
keylon-kennedy,Keylon Kennedy,DB/CB,,,,,1.0,,,,,,,,,5.0
kurt-benkert,Kurt Benkert,QB,,1.0,,1.0,,1.0,179.0,,,,,7.0,,
laron-stokes,LaRon Stokes,DL/DE/DT,,,,,,,,,,,,,0.5,3.0
landen-akers,Landen Akers,WR,,,,,,,,,75.0,6.0,,,,
luq-barcoo,Luq Barcoo,DB/CB,,,,,,,,,,,,,,5.0
mathew-sexton,Mathew Sexton,WR,,,,,,,,,72.0,4.0,,,,
maurice-smith,Maurice Smith,DB,,,,,,,,,,,,,1.0,7.0
michael-carrizosa,Michael Carrizosa,K/P,1.0,,,,,,,,,,,,,
mike-tverdov,Mike Tverdov,DL,,,,,,,,,,,,,,1.0
pita-taumoepenu,Pita Taumoepenu,LB/OLB,,,,,2.0,,,,,,,6.0,1.5,4.0
ranthony-texada,Ranthony Texada,DB,,,,,,,,,,,,,,4.0
robert-windsor,Robert Windsor,DL,,,,,,,,,,,,,1.0,4.0
rod-smith,Rod Smith,RB,,,,,,,,1.0,36.0,3.0,,39.0,,
sean-price,Sean Price,WR/TE,,,,,,,,1.0,46.0,3.0,,,,
stephen-roberts,Stephen Roberts,DB,,,,,,,,,,,,,,5.0
tj-vasher,T.J. Vasher,WR,,,,,,,,,-3.0,1.0,,,,
tenny-adewusi,Tenny Adewusi,DB,,,,,,,,,,,,,,7.0
terrell-bonds,Terrell Bonds,DB/CB,,,,1.0,1.0,,,,,,,,,1.0
travis-toivonen,Travis Toivonen,WR,,,,,,,,,12.0,1.0,,,,
vic-beasley,Vic Beasley,DE/LB,1.0,,,,,,,,,,,,,1.0
vipers-dst,Vipers DST,DST,2.0,,1.0,,,,,,,,,,4.0,
vipers-qb,Vipers QB,QB,,,,,,2.0,264.0,,,,,25.0,,
