player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
ac-kerr,AC Kerr,,88.0,7.0,1.0,5.0,72.0,0.0,53.0,1.0,1.0,42.0,4.0,1.0,,1.0
ae-jones,AE Jones,,22.0,1.0,0.0,5.0,15.0,1.0,,,,,,,,1.0
ae-satterthwaite,AE Satterthwaite,,128.0,10.0,1.0,3.0,119.0,2.0,,,,,,,1.0,1.0
bm-halliday,BM Halliday,,,,,,,,12.0,0.0,0.0,17.0,1.0,1.0,,1.0
dn-wyatt,DN Wyatt,,7.0,0.0,0.0,2.0,1.0,0.0,,,,,,,,1.0
fc-wilson,FC Wilson,,9.0,1.0,0.0,6.0,6.0,0.0,,,,,,,,1.0
fl-mackay,FL Mackay,,,,,,,,54.0,0.0,0.0,52.0,0.0,0.0,,1.0
fr-davies,FR Davies,,6.0,0.0,0.0,10.0,2.0,0.0,48.0,0.0,0.0,33.0,1.0,1.0,,1.0
hc-knight,HC Knight,,82.0,7.0,0.0,3.0,60.0,0.0,36.0,0.0,0.0,28.0,0.0,1.0,1.0,1.0
hm-rowe,HM Rowe,,,,,,,,36.0,0.0,0.0,22.0,0.0,1.0,,1.0
hnk-jensen,HNK Jensen,,20.0,1.0,0.0,2.0,8.0,0.0,36.0,0.0,0.0,32.0,1.0,0.0,,1.0
jm-kerr,JM Kerr,,,,,,,,48.0,0.0,0.0,27.0,2.0,2.0,,1.0
kj-martin,KJ Martin,,,,,,,,,,,,,,2.0,1.0
kl-cross,KL Cross,,3.0,0.0,0.0,11.0,0.0,0.0,48.0,0.0,0.0,40.0,1.0,0.0,,1.0
l-winfield,L Winfield,,16.0,1.0,0.0,7.0,11.0,0.0,,,,,,,,1.0
ml-green,ML Green,,,,,,,,,,,,,,1.0,1.0
nc-dodd,NC Dodd,,19.0,0.0,0.0,1.0,3.0,0.0,,,,,,,1.0,1.0
nr-sciver,NR Sciver,,9.0,2.0,0.0,4.0,12.0,0.0,58.0,2.0,0.0,35.0,1.0,1.0,,1.0
s-ecclestone,S Ecclestone,,10.0,0.0,0.0,8.0,3.0,0.0,60.0,0.0,0.0,45.0,0.0,0.0,,1.0
s-glenn,S Glenn,,11.0,1.0,0.0,9.0,11.0,0.0,30.0,0.0,0.0,42.0,0.0,1.0,,1.0
sfm-devine,SFM Devine,,25.0,2.0,0.0,4.0,15.0,0.0,48.0,0.0,0.0,26.0,2.0,3.0,,1.0
tt-beaumont,TT Beaumont,,113.0,7.0,1.0,1.0,88.0,0.0,,,,,,,,1.0
