player_id,player_name,positions,fg_made,pass_td,recv_td,rush_td
carlos-vazquez,Carlos Vazquez,K,1.0,,,
jelani-baker,Jelani Baker,WR,3.0,,,
joenez-coleman,Joenez Coleman,OL,,1.0,,
justin-clarkson,Justin Clarkson,WR,,,1.0,
luiz-ferreira,Luiz Ferreira,K,,,,1.0
steven-newbold,Steven Newbold,,,,,2.0
