player_id,player_name,positions,assist_tackles,completions,fg_30_39,fg_50plus,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_tds,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
keith-mumphery,Keith Mumphery,WR,,,,,,,,,,,3.0,22.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,,
kenny-robinson,Kenny Robinson,DB/S/SAF,1.0,,,,,11.0,,11.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
ldamian-washington,L\'Damian Washington,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
lenard-tillery,Lenard Tillery,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,5.0,,,,,,1.0
los-angeles,Los Angeles,,,,,,,6.0,39.0,21.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luis-perez,Luis Perez,QB,,4.0,,,,,,,,,,,,,5.0,1.0,39.0,,,,,,,,,,,,,,,,,,,,,
marcus-lucas,Marcus Lucas,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.0,,,,,,,
marquette-king,Marquette King,P,,,,,,,,,,,,,,,,,,,,,50.0,56.0,,,150.0,3.0,46.0,2.0,,,,,,,,,,
marquise-williams,Marquise Williams,QB,,7.0,,,,,,,,,,,,,15.0,,94.0,,,,,,,,,,,,,,,2.0,,12.0,,,,
matt-jones,Matt Jones,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,95.0,,,,
matt-mcgloin,Matt McGloin,QB,,8.0,,,,,,,1.0,,,,,,11.0,,84.0,,,,,,,,,,,,,,,,,,,,,
matthew-mccrane,Matthew McCrane,K,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mekale-mckay,Mekale McKay,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,1.0,,,,,,,1.0
new-york,New York,,,,,,,6.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-deluca,Nick DeLuca,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
ranthony-texada,Ranthony Texada,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,6.0,
robert-nelson,Robert Nelson,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
ryan-mueller,Ryan Mueller,DB/DE/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,3.0,
ryan-white,Ryan White,CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
seattle,Seattle,,,,,,,,12.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
st-louis,St. Louis,,,,,,,3.0,29.0,17.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steve-beauharnais,Steve Beauharnais,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
tj-barnes,T.J. Barnes,DB/DL/DT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
total,TOTAL,WR,21.0,12.0,2.0,1.0,3.0,11.0,,11.0,,1.0,3.0,84.0,1.0,132.0,18.0,,119.0,2.0,9.0,9.0,50.0,56.0,1.0,1.0,150.0,3.0,46.0,2.0,,119.0,12.0,37.0,2.0,156.0,3.0,40.0,61.0,5.0
tampa-bay,Tampa Bay,,,,,,,3.0,27.0,15.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taylor-russolino,Taylor Russolino,K,,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teo-redding,Teo Redding,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,3.0,,,,,,,1.0
terence-garvin,Terence Garvin,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,
terrence-alexander,Terrence Alexander,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tim-cook,Tim Cook,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,50.0,,,,
toby-johnson,Toby Johnson,DB/DL/DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,
will-clarke,Will Clarke,DB/DL/DT/OLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,
will-hill,Will Hill,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,
