player_id,player_name,positions,1pt_conversion,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,,,0.0,12.0,1.0,0.0,13.0,
aidan-robbins,Aidan Robbins,RB,,,,,,,,,,,,,,0.0,13.0,
alize-mack,Alize Mack,TE,,,,,,,,,,,1.0,16.0,2.0,,,
ben-bresnahan,Ben Bresnahan,TE,,,,,,,,,,,0.0,10.0,1.0,,,
brahmas-dst,Brahmas DST,DST,,,,1.0,,0.0,,,,26.0,,,,,,1.0
brahmas-k,Brahmas K,K,,,76.0,,,,,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,,,,0.0,,1.0,2.0,230.0,,,,,0.0,32.0,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,,,1.0,76.0,1.0,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,,,,0.0,71.0,5.0,,,
chris-rowland,Chris Rowland,WR,,,,,,,1.0,,,,0.0,7.0,1.0,,,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,1.0,70.0,5.0,,,
darius-hagans,Darius Hagans,RB,,,,,,,,,,,,,,0.0,1.0,
dee-anderson,Dee Anderson,WR,,,,,,,,,,,0.0,0.0,0.0,,,
defenders-dst,Defenders DST,DST,,1.0,,2.0,,0.0,,,,24.0,,,,,,3.0
defenders-k,Defenders K,QB/K,1.0,,,,0.0,,,3.0,289.0,,,,,0.0,11.0,
deon-jackson,Deon Jackson,RB,1.0,,,,,,,,,,0.0,5.0,1.0,1.0,45.0,
jashaun-corbin,Jashaun Corbin,RB,,,,,,,,,,,0.0,32.0,1.0,1.0,109.0,
javon-antonio,Javon Antonio,WR,1.0,,,,,,,,,,0.0,12.0,1.0,,,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,0.0,22.0,3.0,,,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,,0.0,52.0,7.0,,,
jordan-taamu,Jordan Ta\'amu,QB,1.0,,,,0.0,,,3.0,278.0,,,,,0.0,8.0,
kevin-hogan,Kevin Hogan,QB,,,,,0.0,,1.0,2.0,230.0,,,,,0.0,32.0,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,1.0,,,,0.0,42.0,2.0,0.0,-4.0,
mike-diliello,Mike DiLiello,QB,,,,,0.0,,,0.0,11.0,,,,,0.0,3.0,
rashaun-henry,Ra\'Shaun Henry,WR,,,,,,,,,,,0.0,10.0,1.0,,,
steven-stilianos,Steven Stilianos,TE,,,,,,,,,,,1.0,46.0,5.0,,,
tristan-vizcaino,Tristan Vizcaino,K,,,76.0,,,,,,,,,,,,,
