player_id,player_name,positions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_yards
albany-qb,ALBANY QB,QB,,4.0,180.0,,,,16.0
adrian-adams,Adrian Adams,WR,,,,,24.0,5.0,
billings-qb,BILLINGS QB,QB,1.0,1.0,113.0,,,,1.0
braeden-wingle,Braeden Wingle,QB,,1.0,89.0,,,,3.0
darien-townsend,DARIEN TOWNSEND,WR,,,,,5.0,3.0,8.0
duane-brown,DUANE  BROWN,WR,,,,2.0,104.0,6.0,
isaiah-scott,Isaiah Scott,WR,,,,1.0,50.0,5.0,
jamaar-moore,Jamaar Moore,WR,,,,,4.0,1.0,
jevin-frett,Jevin Frett,WR,,,,,46.0,4.0,
keith-nemasango,Keith Nemasango,RB,,,,1.0,4.0,1.0,0.0
kenneth-brewer,Kenneth Brewer,WR,,,,,28.0,2.0,
robert-mccoy-jr,Robert Mccoy Jr,QB,,,28.0,,,,1.0
sam-castronova,Sam Castronova,QB,,4.0,152.0,,,,15.0
