player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
anthony-webb,Anthony Webb,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,22.0,1.0,22.0,1.0,,,,,,,,,,,,,
antonio-hill,Antonio Hill,DB,3.0,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,3.0,6.0,,,,
billy-reagins-jr,Billy Reagins Jr.,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
brad-namdar,Brad Namdar,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
cam-hale-ii,Cam Hale II,RB,,,,,,,2.0,2.0,,,,,3.0,,,,,,,6.0,9.0,0.0,18.0,,,,,,,13.1,32.0,2.0,92.0,7.0,1.5,3.0,2.0,0.0,3.0,,,,,,,,
carl-robinson-iii,Carl Robinson III,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.5,0.0,,
chase-baker,Chase Baker,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
chris-perry,Chris Perry,DB,3.0,1.0,0.0,,,,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
daniel-byse,DANIEL BYSE,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
damond-powell,Damond Powell,WR,,,,,,,,,,,,,3.0,,,,,,,11.0,14.0,0.0,33.0,,,,,,,6.0,13.0,0.0,18.0,3.0,4.3,15.0,23.0,4.0,100.0,,,,,,,,
darrien-crowe,Darrien Crowe,K,0.0,,,,,,,,,,,,,,50.0,0.0,0.0,50.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,3.0,,,,
darrin-primes,Darrin Primes,LB,,,,,,,,,,,,,,3.0,49.4,0.0,0.0,247.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0
devond-blair-jr,Devond Blair Jr.,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,,,,
erick-young,Erick Young,RB,3.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,
fred-bruno,Fred Bruno,WR,,,,,,,,,,,,1.0,,,,,,,,,,,,14.0,12.0,,30.0,2.0,107.0,,,,,,8.0,35.0,7.0,3.0,56.0,,,,,,,,
jai-jones,Jai Jones,LB,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,6.0,,,,
james-taylor,James Taylor,OL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,5.0,8.0,3.0,0.0,,
jaylen-perkins,Jaylen Perkins,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,11.0,1.0,15.0,2.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,
jayvon-johnson,Jayvon Johnson,LB,0.0,,,,2.0,0.0,1.0,0.0,,,,,7.0,,,,,,,14.6,50.0,1.0,102.0,,,,,,,0.5,6.0,0.0,2.0,4.0,4.0,11.0,4.0,1.0,16.0,,,0.0,0.0,,,,
jazzir-merricks,Jazzir Merricks,DL,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,
joshua-neal,Joshua Neal,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,30.0,1.0,63.0,6.0,,,,,,,,1.0,2.0,1.0,0.0,,
juan-moore,Juan Moore,DB,1.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,2.5,3.0,2.0,0.0,5.0,,,3.0,4.0,,,,
justin-youmes,Justin Youmes,OL,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,1.0,,22.0,1.0,22.0,,,,,,1.0,6.0,3.0,0.0,3.0,,,,,,,,
kyler-henson,Kyler Henson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,20.0,1.0,55.0,4.0,,,,,,,,,,,,,
landon-freeman,Landon Freeman,RB,4.0,1.0,0.0,1.0,,,,,15.0,15.0,15.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,5.0,,,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,,,,,,,,,,,10.0,42.5,0.0,1.0,425.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0
malik-milloy,Malik Milloy,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
metoriah-faoliu,Metoriah Faoliu,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,2.0,2.0,1.0,0.0,,
