player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_kr,score_p,score_pts,score_r,score_tot,stat_pts,stat_xpa,stat_xpm
adrian-tracy,Adrian Tracy,DL/DB,,,1.0,1.0,1.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ante-milanovic-litre,Ante MILANOVIC-LITRE,RB,,,,,,,,,,,,,,,,,19.0,1.0,1.0,,18.0,19.0,,,,,,,,,,,,,,,,,,,,
bralon-addison,Bralon ADDISON,WR,,,,,,,,,,,,,,,,,15.0,7.0,8.0,,20.0,49.0,,,,,,,,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,1.0,1.0,,,,,,,,,,,,,9.0,13.0,2.0,17.0,86.0,115.0,1.0,,,1.0,115.0,1.0,-1.0,,-1.0,1.0,,,2.0,20.0,,3.0,,,
chris-casher,Chris Casher,DB/DE,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colton-hunchak,Colton Hunchak,WR,,,,,,,,,,,,,,,,,57.0,1.0,3.0,,6.0,57.0,,,,,,,,,,,,,,,,,,,,
cordarro-law,Cordarro Law,DL/DB,,,3.0,5.0,5.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-greenwood,Cory Greenwood,LB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-amos,DaShaun Amos,DB,1.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dane-evans,Dane Evans,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,
delvin-breaux,Delvin Breaux,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DL/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eric-rogers,Eric Rogers,WR,,,,,,,,,,,,,,,,,25.0,5.0,11.0,,19.0,70.0,,,,,,,,,,,,,,,,,,,,
jagared-davis,Ja'Gared Davis,DB,,,1.0,3.0,3.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,,,,,,,,,,,10.0,2.0,2.0,,6.0,13.0,,,,,,,,,,,,,,,,,,,,
jamar-wall,Jamar Wall,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,,,34.0,25.0,1.0,,39.0,4.0,2.0,192.0,,,,,,,,,,,,,3.0,3.0,,6.0,,,,,,,,,,
julian-howsare,Julian Howsare,DL/DB/DE,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumal-rolle,Jumal Rolle,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin-tuggle,Justin Tuggle,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kadeem-carey,Ka\'Deem CAREY,RB,,,,,,,,1.0,,,,,,,,,11.0,1.0,2.0,,11.0,11.0,,,,,,,3.0,,1.0,6.0,,1.0,,,12.0,1.0,2.0,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,,,,,,,,,,,,,,,,,,,,,73.0,6.0,6.0,133.0,,371.0,,,,,,,,,2.0,,,2.0,2.0,2.0
luke-tasker,Luke Tasker,WR,,,,,,,,,,,,,,,,,8.0,2.0,4.0,,1.0,12.0,,,,,,,,,,,,,,,,,,,,
maleek-irons,Maleek Irons,RB,,,,,,,,,,,,,,,,,13.0,3.0,3.0,,18.0,20.0,,,,,,,14.0,10.0,,61.0,,,,,,,,,,
marcus-tucker,Marcus Tucker,WR,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,,,,16.0,,,,,,,,,,,,,,
markeith-ambles,Markeith Ambles,WR,,,,,,,,,,,,,,,,,11.0,3.0,5.0,,10.0,29.0,,,,,,,,,,,,,,,,,,,,
michael-klukas,Michael Klukas,WR,,,,,,,,,,,,,,,,,10.0,1.0,1.0,,3.0,10.0,,,,,,,,,,,,,,,,,,,,
mike-daly,Mike Daly,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-rose,Mike Rose,LB/DL/DB/MLB,,,1.0,4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nate-holley,Nate Holley,S/LB/SAF,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-arbuckle,Nick ARBUCKLE,QB,,,,,,,,,40.0,24.0,,57.0,35.0,4.0,,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,
nikola-kalinic,Nikola Kalinic,FB/TE,,,,1.0,1.0,,,,,,,,,,,,9.0,2.0,2.0,,5.0,12.0,,1.0,,,,,,,,,1.0,,,,2.0,,,,,
nila-kasitati,Nila Kasitati,OL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raheem-wilson,Raheem Wilson,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggie-begelton,Reggie BEGELTON,WR,,,,,,,,,,,,,,,,,27.0,8.0,9.0,,45.0,119.0,34.0,4.0,,,,92.0,1.0,,1.0,6.0,,,,,6.0,1.0,1.0,,,
rene-paredes,René Paredes,K,,,,,,,,,,,,,,,,,,,,,,,75.0,4.0,4.0,149.0,1.0,244.0,,,,,,,,,3.0,,,2.0,2.0,2.0
richard-leonard,Richard Leonard,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richard-sindani,Richard Sindani,WR,,,,,,,,,,,,,,,,,21.0,4.0,5.0,,12.0,43.0,,,,,,,,,,,,,,,,,,,,
rico-murray,Rico Murray,LB/DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rob-maver,Rob Maver,K/P,,,,,,,,,1.0,1.0,,19.0,,,,19.0,,,,,,,62.0,7.0,7.0,36.0,,310.0,,,,,,,,,,,,,,
robertson-daniel,Robertson Daniel,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royce-metchie,Royce Metchie,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryker-mathews,Ryker Mathews,OL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,,1.0,3.0,3.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ted-laurent,Ted Laurent,DT/DB,,,1.0,2.0,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terry-williams,Terry Williams,RB/WR,,,,,,,,,,,,,,,,,29.0,1.0,2.0,,27.0,29.0,27.0,2.0,,,,41.0,5.0,5.0,,15.0,,,,,,,,,,
tre-roberson,Tre Roberson,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tunde-adeleke,Tunde Adeleke,DB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
william-likely,William Likely,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,110.0,2.0,,,1.0,133.0,,,,,,,1.0,,6.0,,1.0,,,
wynton-mcmanis,Wynton McManis,LB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
