player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
abdul-kanneh,Abdul Kanneh,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alden-darby,Alden Darby,DB/LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DB/DT,1.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-orange,Anthony Orange,DB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arjen-colquhoun,Arjen Colquhoun,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armanti-edwards,Armanti Edwards,WR,,,,,,,,,,,,33.0,4.0,5.0,,17.0,41.0,,,,,,,,,,,,,,,,,,,
brandon-burks,Brandon Burks,RB,,,,,,,,,,,,,1.0,3.0,1.0,27.0,27.0,,,,,,5.0,29.0,,43.0,1.0,6.0,,1.0,,,,,,
cj-gable,C.J. Gable,RB,,,,,,,,,,,,10.0,3.0,3.0,,14.0,15.0,,,,,,15.0,15.0,,76.0,,,,,,,,,,
chris-rainey,Chris Rainey,RB,,,,,,,,,,,,13.0,2.0,2.0,,19.0,19.0,48.0,6.0,,,138.0,8.0,19.0,,58.0,,,,,,,,,,
christion-jones,Christion Jones,RB,,,,,,,,,,,,,,1.0,,,,27.0,5.0,,,101.0,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,59.0,5.0,11.0,,51.0,155.0,,,,,,,,,,,,,,,,,,,
derel-walker,Derel Walker,WR,,,,,,,,,,,,12.0,3.0,6.0,,7.0,22.0,,,,,,,,,,,,,,,,,,,
