player_id,player_name,positions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
carlton-brown,Carlton Brown,RB,,,,0.0,1.0,1.0,1.0,12.0
charles-hall,Charles Hall,WR,,,,,7.0,1.0,,
daquan-bailey-brown,Daquan Bailey-Brown,WR,,,,1.0,71.0,6.0,0.0,8.0
demarius-washington,Demarius Washington,WR,,,,0.0,22.0,2.0,,
devon-williams,Devon Williams,P/RB/TE/WR,,,,1.0,137.0,9.0,,
isaiah-mckoy,Isaiah McKoy,WR,,,,0.0,56.0,6.0,0.0,3.0
jake-dunniway,Jake Dunniway,QB,4.0,1.0,153.0,,,,,
jalen-morton,Jalen Morton,QB,0.0,3.0,169.0,,,,1.0,48.0
jarren-myers,Jarren Myers,QB,0.0,0.0,18.0,,,,1.0,14.0
josh-meier,Josh Meier,WR,,,,1.0,11.0,3.0,,
kyvon-smith,Ky\'Von Smith,DB,0.0,0.0,34.0,,,,,
ledarian-mcallister,Ledarian Mcallister,WR,,,,1.0,11.0,3.0,,
logan-wright,Logan Wright,RB,,,,,,,0.0,11.0
shiloh-flanagan,Shiloh Flanagan,WR,,,,2.0,76.0,5.0,,
trevonte-long,Trevonte Long,WR,,,,0.0,78.0,8.0,1.0,17.0
