player_id,player_name,positions,1pt_conversion,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,,,,0.0,0.0,0.0,,,
brahmas-dst,Brahmas DST,DST,,,2.0,,1.0,,,,9.0,,,,,,6.0
brahmas-k,Brahmas K,K,,76.0,,,,,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,,,1.0,,,1.0,269.0,,,,,0.0,0.0,
cody-latimer,Cody Latimer,TE,,,,,,,,,,0.0,32.0,5.0,,,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,0.0,4.0,1.0,,,
danny-etling,Danny Etling,QB,,,,1.0,,1.0,1.0,105.0,,,,,0.0,10.0,
devin-gray,Devin Gray,WR,,,,,,,,,,0.0,8.0,2.0,,,
ej-perry,E.J. Perry,QB,,,,0.0,,1.0,0.0,77.0,,,,,0.0,49.0,
jake-bates,Jake Bates,K/PK,,49.0,,,,,,,,,,,,,
john-lovett,John Lovett,RB,,,,,,,,,,0.0,9.0,3.0,1.0,35.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,0.0,105.0,5.0,,,
justin-smith,Justin Smith,WR,,,,,,,,,,0.0,107.0,7.0,,,
kd-cannon,K.D. Cannon,WR,,,,,,,,,,0.0,0.0,0.0,,,
marcus-simms,Marcus Simms,WR,,,,,,,,,,1.0,63.0,4.0,,,
marquez-stevenson,Marquez Stevenson,WR,1.0,,,,,,,,,1.0,16.0,3.0,,,
matt-colburn-ii,Matt Colburn II,WR/RB,,,,,,,,,,0.0,11.0,3.0,0.0,27.0,
morgan-ellison,Morgan Ellison,RB,,,,,,,,,,,,,0.0,2.0,
panthers-dst,Panthers DST,DST,,,,,1.0,,,,19.0,,,,,,1.0
panthers-k,Panthers K,K,,49.0,,,,,,,,,,,,,
panthers-qb,Panthers QB,QB,,,,1.0,,2.0,1.0,182.0,,,,,0.0,59.0,
quinten-dormady,Quinten Dormady,QB,,,,1.0,,,1.0,269.0,,,,,0.0,0.0,
ryan-santoso,Ryan Santoso,K,,76.0,,,,,,,,,,,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,,0.0,24.0,2.0,,,
trey-quinn,Trey Quinn,WR,,,,,,,,,,0.0,52.0,4.0,,,
wes-hills,Wes Hills,RB,,,,,,,,,,0.0,9.0,1.0,0.0,25.0,
