player_id,player_name,positions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,,,,,,0.0,39.0,
alize-mack,Alize Mack,TE,,,,,,,,,,,1.0,3.0,1.0,,,
antwane-wells,Antwane Wells,WR,,,,,,1.0,,,,,0.0,48.0,5.0,,,
briley-moore,Briley Moore,TE,,,,,,,,,,,1.0,21.0,1.0,,,
columbus-aviators-dst,COLUMBUS AVIATORS DST,K/DST,2.0,,2.0,,1.0,,1.0,,,44.0,,,,,,1.0
columbus-aviators-qb,COLUMBUS AVIATORS QB,QB,,,,2.0,,1.0,,2.0,156.0,,,,,1.0,52.0,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,0.0,41.0,4.0,,,
defenders-dst,Defenders DST,DST,,,2.0,,2.0,,,,,26.0,,,,,,4.0
defenders-k,Defenders K,K/QB,5.0,92.0,,1.0,,,,1.0,99.0,,,,,0.0,20.0,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,0.0,29.0,1.0,3.0,97.0,
erik-ezukanma,Erik Ezukanma,WR,,,,,,,,,,,0.0,0.0,0.0,0.0,37.0,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,0.0,9.0,2.0,,,
jalan-mcclendon,Jalan McClendon,QB,,,,1.0,,1.0,,2.0,156.0,,,,,1.0,55.0,
jalen-morton,Jalen Morton,QB,,,,1.0,,,,0.0,0.0,,,,,0.0,-3.0,
jason-bean,Jason Bean,QB,,,,0.0,,,,0.0,49.0,,,,,0.0,2.0,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,,0.0,17.0,2.0,,,
john-lovett,John Lovett,RB,,,,,,,,,,,0.0,-6.0,1.0,0.0,33.0,
jordan-taamu,Jordan Ta\'amu,QB,,,,1.0,,,,1.0,99.0,,,,,0.0,20.0,
keke-chism,Keke Chism,WR,,,,,,,,,,,0.0,9.0,2.0,,,
keke-coutee,Keke Coutee,WR,,,,,,1.0,,,,,0.0,0.0,0.0,,,
mason-fairchild,Mason Fairchild,TE,,,,,,,,,,,0.0,8.0,1.0,,,
matt-mccrane,Matt McCrane,K,5.0,92.0,,,,,,,,,,,,,,
ryan-nelson,Ryan Nelson,OT/T/OL,,,,,,,,,,,0.0,-5.0,1.0,,,
tay-martin,Tay Martin,WR,,,,,,,,,,,1.0,56.0,6.0,,,
toa-taua,Toa Taua,RB,,,,,,,,,,,0.0,5.0,1.0,0.0,44.0,
ty-scott,Ty Scott,WR,,,,,,,,,,,0.0,0.0,0.0,,,
xazavian-valladay,Xazavian Valladay,RB,,,,,,,,,,,0.0,0.0,1.0,1.0,36.0,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,0.0,20.0,2.0,1.0,31.0,
