player_id,player_name,positions,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
abram-smith,Abram Smith,RB,,,,,,,,,6.0,1.0,,58.0,,
adam-sparks,Adam Sparks,DB/CB,,,,,,,,,,,,,,8.0
alex-ellis,Alex Ellis,TE,,,,,,,,,11.0,1.0,,,,
andre-mintze,Andre Mintze,DE/LB,,,,,,,,,,,,,,1.0
anthony-hines,Anthony Hines,LB,,,,,,,,,,,,,,3.0
anthoula-kelly,Anthoula Kelly,DB/CB,,,,,,,,,,,,,,7.0
brandon-dillon,Brandon Dillon,TE,,,,,,,,,47.0,3.0,,,,
brett-hundley,Brett Hundley,QB,,,,1.0,,,50.0,,,,,0.0,,
brian-burt,Brian Burt,RB,,,,,,,,,6.0,1.0,,,,
cj-avery,C.J. Avery,LB,,,,,,,,,,,,,,6.0
chris-blair,Chris Blair,WR,,,,,,,,,84.0,4.0,,,,
cinque-sweeting,Cinque Sweeting,WR,,,,,,,,2.0,65.0,3.0,,,,
dj-calhoun,D.J. Calhoun,LB,,,,,,,,,,,,,,1.0
deriq-king,D\'Eriq King,QB,,,,,,1.0,38.0,,,,2.0,8.0,,
davin-bellamy,Davin Bellamy,DL/DE,1.0,,,,,,,,,,,,0.5,1.0
deandre-torrey,DeAndre Torrey,RB,,,,,,,,,7.0,1.0,,3.0,,1.0
dejuan-neal,DeJuan Neal,DB/CB,,,,,2.0,,,,,,,,,1.0
defenders-dst,Defenders DST,DST,,,1.0,,,,,,,,,,2.0,
defenders-qb,Defenders QB,QB,,,,,,1.0,215.0,,,,2.0,97.0,,
deontay-anderson,Deontay Anderson,DB/SAF,,,,,,,,,,,,,,8.0
fadol-brown,Fadol Brown,DL/DE/DT,,,,,,,,,,,,,1.0,3.0
jacub-panasiuk,Jacub Panasiuk,DL,,,,,,,,,,,,,0.5,2.0
jahsheem-martin,Jah\'Sheem Martin,DL,,,,,,,,,,,,,,2.0
jamal-brooks,Jamal Brooks,LB,,,,,,,,,,,,,,5.0
jarrell-owens,Jarrell Owens,DL/DB,,,,,,,,,,,,,,2.0
jawuan-johnson,Jawuan Johnson,LB,,,,,,,,,,,,,,1.0
jeff-badet,Jeff Badet,WR,,,,,,,,,80.0,7.0,,2.0,,
jequez-ezzard,Jequez Ezzard,WR,,,,1.0,,,,1.0,32.0,1.0,,,,
john-lovett,John Lovett,RB,,,,,,,,,22.0,2.0,,39.0,,
jordan-taamu,Jordan Ta\'amu,QB,,,,,,,177.0,,,,,89.0,,
joseph-wallace,Joseph Wallace,DL/DT,,,,,,,,,,,,,,1.0
josh-hammond,Josh Hammond,WR,,,,,,,,,17.0,5.0,,,,
kentrell-brice,Kentrell Brice,DB/SAF,,,,,1.0,,,,,,,,,4.0
laron-stokes,LaRon Stokes,DL/DE/DT,,,,,,,,,,,,,,3.0
lucky-jackson,Lucky Jackson,WR,,,,,,,,,65.0,4.0,,,,
luis-perez,Luis Perez,QB,,1.0,,,,2.0,283.0,,,,,4.0,,
martavis-bryant,Martavis Bryant,WR,,,,,,,,,43.0,3.0,,,,
mathew-sexton,Mathew Sexton,WR,,,,,,,,,33.0,4.0,,,,
michael-joseph,Michael Joseph,DB/CB,,,,,1.0,,,,,,,,,3.0
nijuel-hill,Nijuel Hill,DB,,,,,,,,,,,,,,1.0
pj-dawson,P.J. Dawson,LB,,,,,,,,,,,,,,3.0
pita-taumoepenu,Pita Taumoepenu,LB/OLB,,,,,,,,,,,,,,3.0
robert-windsor,Robert Windsor,DL,,,,,,,,,,,,,,2.0
rod-smith,Rod Smith,RB,,,,,,,,,30.0,3.0,,23.0,,
ryquell-armstead,Ryquell Armstead,RB,,,,,,,,,,,,18.0,,
santos-ramirez,Santos Ramirez,DB/SAF,,,1.0,,,,,,,,,,,5.0
travis-koontz,Travis Koontz,TE,1.0,,,,,,,,,,,,,
vic-beasley,Vic Beasley,DE/LB,,,,,,,,,,,,,,2.0
vipers-qb,Vipers QB,QB,,1.0,,1.0,,2.0,333.0,,,,1.0,4.0,,
