player_id,player_name,positions,def_ast,def_solo,def_tot
antonio-simmons,Antonio Simmons,DE/DB,,3.0,3.0
david-dean,David Dean,DT/DB,1.0,1.0,2.0
freddie-bishop,Freddie Bishop,DB,2.0,2.0,4.0
