player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
quincy-mauger,Quincy Mauger,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolan-milligan,Rolan Milligan,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samuel-emilus,Samuel Emilus,WR,,,,,,,,,,,,,,,,32.0,1.0,1.0,,6.0,32.0,,,,,,,,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,4.0,2.0,39.0,9.0,3.0,3.0
shai-ross,Shai Ross,WR,,,,,,,,,,,,,,,,,,,,,,25.0,3.0,,,58.0,,,,,,,,,,,,,,,
sione-teuhema,Sione Teuhema,DL/DT/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-flintoft,Stefan Flintoft,K/P,,,,,,,,,,,,,,,,,,,,,,67.0,4.0,4.0,89.0,259.0,,,,,,2.0,,,,,,,,,
tj-lee,T.J. Lee,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tevin-jones,Tevin JONES,WR,,,,,,,,,,,,,,,,,2.0,3.0,1.0,,9.0,,,,,,,,,,1.0,6.0,,,1.0,,,,,,
tibo-debaillie,Tibo Debaillie,DL/DB,,,1.0,2.0,2.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
