player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pr,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aaron-grymes,Aaron Grymes,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahmad-thomas,Ahmad Thomas,LB/DB,1.0,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DB/DT,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antonio-simmons,Antonio Simmons,DB/DE,2.0,4.0,4.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armanti-edwards,Armanti Edwards,WR,,,,,,,,,,,,6.0,2.0,2.0,,6.0,8.0,,,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,53.0,5.0,7.0,1.0,12.0,86.0,,,,,,,,,,1.0,,6.0,1.0,,,,,,
chris-ackie,Chris Ackie,LB/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darius-williams,Darius Williams,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-côté,David Côté,K,,,,,,,,,,,,,,,,,,66.0,4.0,4.0,84.0,,259.0,,,,,,12.0,,4.0,3.0,47.0,12.0,3.0,3.0
derel-walker,Derel Walker,WR,,,,,,,,,,,,32.0,5.0,7.0,,21.0,76.0,,,,,,,,,,,,,,,,,,,
eric-blake,Eric Blake,DL/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eugene-lewis,Eugene LEWIS,WR,,,,,,,,,,,,23.0,3.0,7.0,,5.0,47.0,15.0,1.0,,,,15.0,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,1.0,1.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,
greg-reid,Greg Reid,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hugh-oneill,Hugh O'Neill,K,,,,,,,,,,,,,,,,,,65.0,2.0,2.0,45.0,1.0,125.0,,,,,,,,,,,,,
jake-ceresna,Jake Ceresna,DL/DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-wieneke,Jake Wieneke,WR,,,,,,,,,,,,,1.0,1.0,1.0,3.0,42.0,,,,,,,,,,1.0,,6.0,1.0,,,,,,
james-wilder-jr,James Wilder Jr.,RB,,,,,,,,,,,,,,1.0,,,,,,,,,,15.0,17.0,85.0,,,,,,,,,,
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,13.0,,,,,,,,,,
joe-zema,Joe Zema,DB,,,,,,,,,,,,,,,,,,63.0,5.0,2.0,12.0,,239.0,,,,,,,,,,,,,
jonathan-rose,Jonathan Rose,DB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jordan-hoover,Jordan Hoover,S/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,,,,9.0,1.0,1.0,,2.0,9.0,,,,,,,,,,,,,,,,,,,
keishawn-bierria,Keishawn Bierria,LB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kerfalla-emmanuel-exumé,Kerfalla-Emmanuel Exumé,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kwaku-boateng,Kwaku Boateng,DB/DE,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mario-alford,Mario ALFORD,WR,,,,,,,,,,,,,,,,,,23.0,2.0,,,1.0,45.0,,,,,1.0,6.0,1.0,,,,,,
mathieu-betts,Mathieu Betts,DL/DB/DE,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-wakefield,Michael Wakefield,DL/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-jones,Mike Jones,WR/RB,,,,,,,,,,,,41.0,5.0,6.0,,9.0,70.0,,,,,,,,,,,,,,,,,,,
mike-moore,Mike Moore,DL/DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monshadrik-hunter,Monshadrik Hunter,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
najee-murray,Najee Murray,LB/DB/CB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-usher,Nick Usher,DL/DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyles-morgan,Nyles Morgan,LB/DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quan-bray,Quan Bray,WR/RB,,,,,,,,,,,,12.0,2.0,2.0,,8.0,20.0,,,,,,,,,,,,,,,,,,,
rashaun-simonise,Rashaun Simonise,WR,,,,,,,,,,,,7.0,1.0,1.0,,1.0,7.0,,,,,,,,,,,,,,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,12.0,1.0,1.0,15.0,,12.0,,,,,,7.0,,2.0,2.0,37.0,7.0,1.0,1.0
shai-ross,Shai Ross,WR,,,,,,,,,,,,16.0,3.0,3.0,1.0,8.0,35.0,,,,,,,,,,1.0,,6.0,1.0,,,,,,
terry-williams,Terry Williams,WR/RB,,,,,,,,,,,,,,,,,,26.0,4.0,,,,84.0,1.0,2.0,2.0,,,,,,,,,,
tevaun-smith,Tevaun Smith,WR,,,,,,,,,,,,18.0,3.0,5.0,,10.0,43.0,,,,,,,,,,,,,,,,,,,
thomas-costigan,Thomas Costigan,DL/DB,1.0,3.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tre-watson,Tre Watson,LB/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,29.0,19.0,41.0,21.0,4.0,1.0,233.0,,,,,,,,,,,,,3.0,7.0,8.0,,,,,,,,,,
trumaine-washington,Trumaine Washington,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ty-cranston,Ty Cranston,DB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
