player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
bb-chari,BB Chari,,25.0,1.0,0.0,1.0,11.0,0.0,,,,,,,,1.0
bkg-mendis,BKG Mendis,,,,,,,,,,,,,,1.0,1.0
cj-chibhabha,CJ Chibhabha,,15.0,1.0,0.0,2.0,8.0,0.0,,,,,,,,1.0
cr-ervine,CR Ervine,,30.0,3.0,1.0,3.0,23.0,0.0,,,,,,,,1.0
dm-de-silva,DM de Silva,,,,,,,,6.0,0.0,0.0,4.0,0.0,0.0,,1.0
kmdn-kulasekara,KMDN Kulasekara,,,,,,,,30.0,0.0,0.0,17.0,1.0,3.0,,1.0
md-shanaka,MD Shanaka,,,,,,,,12.0,0.0,0.0,5.0,0.0,1.0,,1.0
n-dickwella,N Dickwella,,,,,,,,,,,,,,1.0,1.0
ras-lakmal,RAS Lakmal,,,,,,,,24.0,1.0,0.0,14.0,0.0,0.0,,1.0
ss-pathirana,SS Pathirana,,,,,,,,9.0,0.0,0.0,10.0,0.0,0.0,,1.0
sikandar-raza,Sikandar Raza,,11.0,0.0,1.0,4.0,4.0,0.0,,,,,,,,1.0
