player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
abe-coffin,Abe Coffin,P,2.0,1.0,,11.0,14.0,,1.0,3.0,,3.0,,15.0,1.0,113.0,133.0
andrew-thompson,Andrew  Thompson,P,1.0,1.0,,7.0,7.0,,,1.0,1.0,,,10.0,2.0,14.0,20.0
anson-reppermund,Anson Reppermund,P,,,,21.0,18.0,1.0,1.0,1.0,,,,20.0,2.0,114.0,139.0
becker-mathie,Becker Mathie,P,2.0,,,15.0,17.0,,,,,,,17.0,,63.0,115.0
brandon-matis,Brandon Matis,P,,,,1.0,,,,,,2.0,,,,12.0,
bret-bergmeier,Bret Bergmeier,P,3.0,3.0,1.0,12.0,14.0,,2.0,2.0,1.0,,,15.0,1.0,97.0,132.0
bryan-vohnoutka,Bryan Vohnoutka,P,2.0,,,15.0,9.0,,4.0,,,1.0,,11.0,2.0,292.0,44.0
carl-johnson,Carl Johnson,P/WR,1.0,1.0,,12.0,7.0,,3.0,,,,,9.0,1.0,192.0,34.0
charlie-vukovic,Charlie Vukovic,P,,1.0,,6.0,6.0,1.0,,1.0,,7.0,,6.0,,32.0,9.0
chris-wohl,Chris Wohl,P,,,,2.0,2.0,,,,,,,2.0,,8.0,14.0
cliff-ressel,Cliff Ressel,P,1.0,,,3.0,2.0,1.0,1.0,,1.0,,,2.0,,58.0,50.0
colin-berry,Colin Berry,P,1.0,,,14.0,12.0,,2.0,,1.0,,,12.0,,202.0,40.0
connor-tipping,Connor Tipping,P,,,,2.0,2.0,,,,,,,2.0,,15.0,8.0
dylan-declerck,Dylan DeClerck,P,,1.0,1.0,6.0,5.0,,2.0,1.0,1.0,,,5.0,,99.0,80.0
jacob-anthuvan,Jacob Anthuvan,P,,1.0,,15.0,12.0,,,,,,,15.0,3.0,156.0,-25.0
james-kittlesen,James Kittlesen,P,,1.0,,1.0,1.0,,,,,,,1.0,,-3.0,5.0
jason-tschida,Jason Tschida,P,2.0,,,27.0,35.0,,1.0,2.0,,,,35.0,,23.0,221.0
john-mcmonigal,John McMonigal,P,1.0,,,8.0,8.0,,,,,,,9.0,1.0,17.0,48.0
jonathan-mast,Jonathan Mast,P,,1.0,,32.0,35.0,,,2.0,1.0,,1.0,38.0,2.0,138.0,401.0
jordan-taylor,Jordan Taylor,P,1.0,1.0,,11.0,9.0,,1.0,,,,,11.0,2.0,145.0,59.0
josh-klane,Josh Klane,P,2.0,,,28.0,34.0,,,7.0,3.0,,,34.0,,38.0,410.0
logan-call,Logan Call,P,,,,3.0,2.0,,1.0,,,,,2.0,,58.0,-16.0
marco-dregni,Marco Dregni,P,,1.0,,12.0,8.0,,2.0,1.0,1.0,,,10.0,2.0,131.0,54.0
marty-adams,Marty Adams,P,,,,1.0,2.0,,,,,,,2.0,,4.0,26.0
matthew-montera,Matthew Montera,P,,,,1.0,2.0,,,,,,,2.0,,,32.0
max-sheppard,Max Sheppard,P,4.0,,,18.0,18.0,,,1.0,2.0,,,18.0,,225.0,149.0
michael-dillard,Michael Dillard,P,,,,29.0,34.0,1.0,2.0,2.0,1.0,,,35.0,1.0,147.0,295.0
michael-jordan,Michael Jordan,P,1.0,,,5.0,4.0,,1.0,1.0,,,,4.0,,117.0,-1.0
mikey-obrien,Mikey O\'Brien,P,3.0,2.0,,16.0,12.0,,2.0,,,,,14.0,1.0,306.0,37.0
noah-celuch,Noah Celuch,P,,1.0,,21.0,30.0,,,1.0,,,,35.0,5.0,2.0,281.0
pete-zaccardi,Pete Zaccardi,P,1.0,,,10.0,14.0,,,1.0,2.0,7.0,,16.0,2.0,110.0,164.0
quinn-snider,Quinn Snider,P,3.0,,,14.0,9.0,,4.0,1.0,,,,10.0,1.0,185.0,95.0
ryan-kindell,Ryan Kindell,P,,,,3.0,1.0,,1.0,,,,,2.0,1.0,50.0,8.0
sam-berglund,Sam Berglund,P,2.0,2.0,,14.0,13.0,,2.0,1.0,1.0,15.0,,18.0,5.0,26.0,96.0
steve-mogielski,Steve Mogielski,P,,2.0,,7.0,5.0,,,,,,,8.0,3.0,22.0,32.0
tanner-barcus,Tanner Barcus,P,,1.0,,7.0,4.0,,3.0,1.0,,,,4.0,,108.0,13.0
tristan-van-de-moortele,Tristan Van de Moortele,P,3.0,,,17.0,20.0,,1.0,2.0,1.0,7.0,,20.0,,13.0,138.0
tyler-thomegreene,Tyler Thomegreene,P,,,,3.0,2.0,,,1.0,,,,3.0,1.0,20.0,22.0
will-casperson,Will Casperson,P,,1.0,,1.0,3.0,,,,,,,4.0,1.0,14.0,19.0
wyatt-brooks,Wyatt Brooks,P,,1.0,,5.0,4.0,,1.0,1.0,,,,4.0,,54.0,36.0
