player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
ben-lewis,Ben Lewis,P,4.0,,24.0,22.0,,1.0,,,,,24.0,2.0,196.0,191.0
brandon-lin,Brandon Lin,P,,,9.0,6.0,,,1.0,1.0,,,9.0,2.0,72.0,85.0
brendan-adams,Brendan Adams,P,2.0,,16.0,18.0,,1.0,,1.0,,,20.0,2.0,-19.0,69.0
cade-white,Cade White,P,,,5.0,3.0,,2.0,,,,,3.0,,73.0,1.0
caleb-dixon,Caleb Dixon,P,,1.0,10.0,9.0,,1.0,,,,,10.0,,55.0,27.0
chris-casella,Chris Casella,P,,,6.0,3.0,,2.0,,,,,4.0,,40.0,-6.0
connor-bryant,Connor Bryant,P,,,,1.0,,,,,,,1.0,,,-11.0
connor-ughetta,Connor Ughetta,P,3.0,,16.0,21.0,,,,1.0,11.0,,21.0,2.0,-4.0,228.0
dane-bossert,Dane Bossert,P,,,8.0,7.0,2.0,2.0,,,,,7.0,,158.0,-40.0
duncan-fitzgerald,Duncan Fitzgerald,P,5.0,1.0,33.0,45.0,,3.0,2.0,1.0,,,50.0,3.0,172.0,226.0
elliot-sakach,Elliot Sakach,P,1.0,,6.0,4.0,,,1.0,1.0,,,5.0,,65.0,34.0
elliott-moore,Elliott Moore,P,1.0,1.0,16.0,13.0,,1.0,,,,1.0,16.0,3.0,113.0,92.0
eric-brodbeck,Eric Brodbeck,P,,,4.0,4.0,,1.0,1.0,,,,5.0,1.0,45.0,16.0
eric-carter,Eric Carter,P,1.0,2.0,8.0,7.0,,,,,,,8.0,1.0,15.0,39.0
evan-swiatek,Evan Swiatek,P,4.0,,33.0,24.0,1.0,5.0,4.0,,,1.0,26.0,1.0,349.0,184.0
jackson-potts,Jackson Potts,P,1.0,1.0,5.0,5.0,,,1.0,1.0,10.0,,6.0,1.0,29.0,77.0
jacob-sames,Jacob Sames,P,,,4.0,7.0,,,2.0,,,,8.0,1.0,6.0,43.0
jake-radack,Jake Radack,P,4.0,,44.0,48.0,,,1.0,2.0,,,48.0,,57.0,432.0
jimmy-zuraw,Jimmy Zuraw,P,1.0,1.0,14.0,20.0,,1.0,1.0,1.0,,,20.0,3.0,31.0,112.0
joey-wylie,Joey Wylie,P,1.0,3.0,14.0,11.0,,3.0,1.0,,,,11.0,,83.0,57.0
john-clyde,John Clyde,P,1.0,,36.0,38.0,,1.0,3.0,,7.0,,42.0,4.0,122.0,259.0
jordan-salazar,Jordan Salazar,P,,1.0,13.0,12.0,,1.0,,,,,13.0,,190.0,77.0
kevin-land,Kevin Land,P,,,4.0,3.0,,1.0,,,,,3.0,,46.0,33.0
kyle-henke,Kyle Henke,P,,,30.0,29.0,1.0,2.0,7.0,1.0,,,29.0,,229.0,198.0
mark-baldauf,Mark Baldauf,P,3.0,1.0,20.0,16.0,,1.0,2.0,,,1.0,19.0,1.0,173.0,128.0
mark-evans,Mark Evans,P,2.0,1.0,25.0,21.0,3.0,3.0,1.0,2.0,,,23.0,1.0,221.0,156.0
mark-henke,Mark Henke,P,,,2.0,2.0,,,1.0,,,,2.0,,14.0,-4.0
matt-bennett,Matt Bennett,P,3.0,,45.0,49.0,,,3.0,,,,51.0,1.0,-20.0,273.0
matthew-armour,Matthew Armour,P,1.0,,5.0,7.0,,,,,,,7.0,,48.0,54.0
max-grove,Max Grove,P,,,15.0,15.0,,1.0,1.0,,,,16.0,,116.0,14.0
mick-walter,Mick Walter,P,,,1.0,4.0,,,,,,,4.0,,15.0,12.0
nick-loughran,Nick Loughran,P,,1.0,4.0,5.0,,1.0,,,,,6.0,1.0,38.0,43.0
noah-chambers,Noah Chambers,P,1.0,,11.0,9.0,,2.0,,,,,9.0,,173.0,25.0
noah-powell,Noah Powell,P,1.0,,3.0,2.0,,1.0,2.0,,,,2.0,,47.0,-25.0
oliver-fay,Oliver Fay,P,1.0,2.0,7.0,7.0,,,1.0,,13.0,,7.0,,62.0,41.0
reese-bowman,Reese Bowman,P,1.0,1.0,7.0,6.0,,,,,,,8.0,2.0,69.0,59.0
steven-kelly,Steven Kelly,P,,,16.0,,,3.0,,,,,,,152.0,
tyler-reinhardt,Tyler Reinhardt,P,,,1.0,3.0,,,1.0,,,,3.0,,-4.0,31.0
zachary-cotter,Zachary Cotter,P,1.0,,7.0,5.0,,,,,1.0,,5.0,1.0,76.0,37.0
