player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_fr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
makana-henry,Makana Henry,DL/DB,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcus-sayles,Marcus Sayles,DB,,1.0,7.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micah-johnson,Micah Johnson,DL/DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
micah-teitz,Micah Teitz,LB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-reilly,Mike Reilly,QB,,,,,,,34.0,23.0,,,10.0,2.0,2.0,259.0,,,,,,,,,,,,2.0,11.0,,17.0,,,,,,,,,,,
mitchell-picton,Mitchell PICTON,WR,,,1.0,1.0,,,,,,,,,,,17.0,1.0,3.0,,5.0,17.0,,,,,,,,,,,,,,,,,,,,
nick-marshall,Nick Marshall,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricardo-louis,Ricardo Louis,WR,,,,,,,,,,,,,,,,5.0,5.0,1.0,24.0,71.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
shaquille-cooper,Shaquille Cooper,RB,,,,,,,,,,,,,,,16.0,7.0,7.0,,28.0,39.0,,,,,,2.0,,1.0,-2.0,,,6.0,1.0,1.0,,,,,,
stefan-flintoft,Stefan Flintoft,P/K,,,,,,,,,,,,,,,,,,,,,69.0,5.0,5.0,110.0,308.0,,,,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tim-bonner,Tim Bonner,DL/DE/DB,,1.0,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ufomba-kamalu,Ufomba Kamalu,DT/LB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
william-powell,William Powell,RB,,,,,,,,,,,,,,,16.0,2.0,2.0,,25.0,25.0,,,,,,12.0,12.0,,42.0,,,,,,,,,,,
