player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
andre-sale,Andre Sale,QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
away-jefferson,Away Jefferson,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,26.0,0.0,26.0,1.0,,,,,,,,,,,,,
blake-erickson,Blake Erickson,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,4.0,,,,
brad-namdar,Brad Namdar,K,,,,,,,,,,,,,1.0,,,,,,,5.0,5.0,0.0,5.0,,,,,,,7.5,10.0,0.0,30.0,4.0,4.1,11.0,8.0,1.0,33.0,,,,,,,,
brandon-unangst-refused-to-report,Brandon Unangst (Refused to Report),OL,,,,,,,,,,,,,,5.0,48.3,0.0,4.0,435.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0
cj-cain,CJ Cain,OL,,,,,,,,,,,,,2.0,,,,,,,12.5,15.0,0.0,25.0,,,,,,,11.7,26.0,3.0,82.0,7.0,,,,,,,,,,,,,
cedric-hearvey,Cedric Hearvey,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
chris-elmore,Chris  Elmore,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
dajon-emory,Dajon Emory,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
darrien-crowe,Darrien Crowe,K,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,,,,
david-brown-jr,David Brown Jr.,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,,,,
dee-reese,Dee Reese,DB,,,,,,,,,,,,,1.0,,,,,,,7.0,7.0,0.0,7.0,,,,,,,10.0,18.0,1.0,20.0,2.0,,,,,,,,,,,,,
dominique-pugh,Dominique Pugh,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
droell-greene,Droell Greene,DB/WR/DB,,,,,,,,,,,,0.0,,,,,,,,,,,,23.0,14.0,,26.0,4.0,163.0,,,,,,4.2,8.0,6.0,1.0,25.0,,,,,,,,
jacobi-brewer,Jacobi Brewer,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
james-taylor,James Taylor,OL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,1.0,0.0,,
jeff-luc,Jeff Luc,DB/DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,12.0,0.0,34.0,4.0,,,,,,,,1.0,3.0,,,,
joseph-taylor,Joseph Taylor,QB,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,1.0,,9.0,1.0,9.0,,,,,,-1.0,0.0,1.0,0.0,-1.0,,,,,,,,
justin-gilbert,Justin Gilbert,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,
kimo-naehu,Kimo Naehu,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
kyle-griswould,Kyle Griswould,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
ladarius-galloway,LaDarius Galloway,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,13.0,2.0,25.0,2.0,,,,,,,,1.0,1.0,,,,
lakedrick-holmes,Lakedrick Holmes,DB,,,,,,,,,,,,,1.0,,,,,,,8.0,8.0,0.0,8.0,,,,,,,15.4,25.0,0.0,77.0,5.0,,,,,,,,,,,,,
letrell-golden,Letrell Golden,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,2.0,3.0,1.0,0.0,,
martevious-jeffries,Martevious Jeffries,WR,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,14.5,24.0,1.0,58.0,4.0,,,,,,,,,,,,,
mike-green,Mike Green,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
rashad-perkins,Rashad Perkins,OL,,,,,,,,,,,,0.0,,,,,,,,,,,,22.0,15.0,,25.0,2.0,184.0,,,,,,5.0,13.0,13.0,4.0,65.0,,,,,,,,
rhema-getter,Rhema Getter,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
rysan-richardson,Rysan Richardson,K,,,,,,,,,,,,,1.0,,,,,,,6.0,6.0,0.0,6.0,,,,,,,5.0,5.0,0.0,5.0,1.0,1.9,6.0,15.0,3.0,29.0,,,,,,,,
thomas-kadera,Thomas Kadera,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.5,0.0,,
trayoun-maxie,Trayoun Maxie,DB,0.0,1.0,0.0,,,,,,20.0,20.0,20.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
tyler-cassel,Tyler Cassel,DL,1.0,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
victor-leventritt,Victor Leventritt,K,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
