player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
bongkwang-nam,Bongkwang Nam,,1.0,1.0,0.0,6.0,3.0
collinda-joseph,Collinda Joseph,,0.0,1.0,1.0,3.0,6.0
gil-dash,Gil Dash,,0.0,1.0,1.0,3.0,6.0
huitae-yang,Huitae Yang,,1.0,1.0,0.0,6.0,3.0
hyeonchul-lee,Hyeonchul Lee,,1.0,1.0,0.0,6.0,3.0
ina-forrest,Ina Forrest,,0.0,1.0,1.0,3.0,6.0
jinho-cha,Jinho Cha,,1.0,1.0,0.0,6.0,3.0
jon-thurston,Jon Thurston,,0.0,1.0,1.0,3.0,6.0
mark-ideson,Mark Ideson,,0.0,1.0,1.0,3.0,6.0
min-ja-bang,Min Ja Bang,,1.0,1.0,0.0,6.0,3.0
