player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
aj-hosein,AJ Hosein,,5.0,0.0,0.0,8.0,4.0,0.0,54.0,0.0,0.0,60.0,0.0,0.0,1.0,1.0
as-joseph,AS Joseph,,6.0,1.0,1.0,9.0,20.0,2.0,54.0,0.0,2.0,61.0,1.0,1.0,,1.0
ba-king,BA King,,2.0,0.0,0.0,4.0,1.0,0.0,,,,,,,,1.0
dj-mitchell,DJ Mitchell,,49.0,6.0,0.0,5.0,63.0,1.0,,,,,,,2.0,1.0
dp-conway,DP Conway,,63.0,6.0,0.0,3.0,56.0,0.0,,,,,,,,1.0
fh-allen,FH Allen,,9.0,0.0,0.0,2.0,3.0,0.0,,,,,,,,1.0
jds-neesham,JDS Neesham,,11.0,1.0,1.0,7.0,34.0,4.0,24.0,0.0,0.0,30.0,1.0,1.0,,1.0
jo-holder,JO Holder,,4.0,0.0,0.0,7.0,1.0,0.0,42.0,0.0,1.0,37.0,2.0,0.0,1.0,1.0
k-sinclair,K Sinclair,,,,,,,,60.0,1.0,0.0,45.0,0.0,2.0,,1.0
kr-mayers,KR Mayers,,110.0,12.0,0.0,2.0,105.0,3.0,18.0,0.0,0.0,16.0,0.0,0.0,,1.0
ku-carty,KU Carty,,9.0,0.0,0.0,6.0,4.0,0.0,,,,,,,,1.0
lh-ferguson,LH Ferguson,,,,,,,,60.0,0.0,0.0,80.0,1.0,1.0,1.0,1.0
mg-bracewell,MG Bracewell,,15.0,1.0,1.0,6.0,14.0,0.0,36.0,0.0,0.0,43.0,0.0,0.0,,1.0
mj-guptill,MJ Guptill,,64.0,5.0,0.0,1.0,57.0,1.0,,,,,,,,1.0
mj-santner,MJ Santner,,,,,,,,60.0,0.0,0.0,38.0,2.0,1.0,2.0,1.0
n-pooran,N Pooran,,55.0,4.0,0.0,3.0,91.0,9.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0
sd-hope,SD Hope,,100.0,3.0,0.0,1.0,51.0,1.0,,,,,,,,1.0
ssj-brooks,SSJ Brooks,,8.0,0.0,0.0,5.0,2.0,0.0,,,,,,,,1.0
ta-boult,TA Boult,,,,,,,,60.0,1.0,0.0,53.0,3.0,5.0,1.0,1.0
tg-southee,TG Southee,,,,,,,,60.0,2.0,0.0,47.0,1.0,1.0,,1.0
twm-latham,TWM Latham,,75.0,6.0,0.0,4.0,69.0,0.0,,,,,,,,1.0
y-cariah,Y Cariah,,1.0,0.0,1.0,10.0,1.0,0.0,54.0,0.0,0.0,77.0,2.0,0.0,,1.0
