player_id,player_name,positions,1pt_conversion,blocked_punt,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alex-kessman,Alex Kessman,K,,,,2.0,105.0,,,,,,,,,,,,,,
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,,,,,0.0,4.0,1.0,,,
battlehawks-dst,Battlehawks DST,DST,,,1.0,,,2.0,,1.0,,,,,28.0,,,,,,4.0
battlehawks-k,Battlehawks K,K,,,,,49.0,,,,,1.0,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,1.0,,,,,,1.0,,,,0.0,110.0,,,,,2.0,54.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,,,0.0,36.0,2.0,,,
cj-marable,CJ Marable,RB,,,,,,,,,1.0,,,,,0.0,5.0,1.0,0.0,40.0,
cade-johnson,Cade Johnson,WR,,,,,,,,,,,,,,1.0,47.0,1.0,,,
cheyenne-ogrady,Cheyenne O\'Grady,TE,,,,,,,,,,,,,,0.0,-4.0,1.0,,,
cole-kelley,Cole Kelley,QB,,,,,,,1.0,,1.0,,2.0,146.0,,,,,0.0,,
daniel-helm,Daniel Helm,TE,,,,,,,,,,,,,,0.0,42.0,3.0,,,
davion-davis,Davion Davis,WR,,,,,,,,,,,,,,0.0,17.0,3.0,,,
deon-cain,Deon Cain,WR,1.0,,,,,,,,,,,,,2.0,115.0,2.0,,,
derrick-dillon,Derrick Dillon,WR,,,,,,,,,,,,,,1.0,72.0,2.0,0.0,11.0,
frank-darby,Frank Darby,WR,,,,,,,,,,,,,,0.0,13.0,1.0,,,
gamblers-dst,Gamblers DST,DST,,,,,,1.0,,1.0,,,,,23.0,,,,,,1.0
gamblers-k,Gamblers K,K,,,,2.0,52.0,,,,,1.0,,,,,,,,,
gamblers-qb,Gamblers QB,QB,,,,,,,2.0,,,,0.0,216.0,,,,,0.0,4.0,
gary-jennings,Gary Jennings,WR,,,,,,,,,1.0,,,,,0.0,0.0,0.0,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,,,,0.0,36.0,3.0,,,
harrison-mevis,Harrison Mevis,K,,,,,114.0,,,,,,,,,,,,,,
isaiah-zuber,Isaiah Zuber,WR,,,,,,,,,,,,,,0.0,0.0,0.0,,,
jmar-smith,J\'Mar Smith,QB,1.0,,,,,,1.0,,1.0,,3.0,262.0,,,,,0.0,45.0,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,,,,0.0,23.0,2.0,,,
jacob-saylors,Jacob Saylors,RB,2.0,,,,,,,,,,,,,0.0,3.0,1.0,1.0,118.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,,,,0.0,0.0,2.0,,,
jake-sutherland,Jake Sutherland,TE/WR,,,,,,,,,,,,,,0.0,22.0,3.0,,,
jalen-camp,Jalen Camp,WR,,,,,,,,,,,,,,0.0,10.0,1.0,,,
jarveon-howard,Jarveon Howard,RB,,,,,,,,,1.0,,,,,,,,0.0,1.0,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,,,,,,0.0,0.0,0.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,,,,0.0,11.0,1.0,,,
josh-pederson,Josh Pederson,TE/WR/RB,,,,,,,,,,,,,,0.0,93.0,5.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,,,,0.0,19.0,2.0,0.0,-2.0,
juwan-washington,Juwan Washington,RB,,,,,,,,,,,,,,0.0,3.0,1.0,0.0,34.0,
keke-chism,Keke Chism,WR,,,,,,,,,,,,,,0.0,17.0,2.0,,,
kenji-bahar,Kenji Bahar,QB,,,,,,,2.0,,,,0.0,216.0,,,,,0.0,4.0,
kerrith-whyte,Kerrith Whyte,RB,,,,,,,,,,,,,,0.0,6.0,1.0,0.0,81.0,
marcus-baugh,Marcus Baugh,TE/WR,,,,,,,,,,,,,,0.0,10.0,1.0,,,
mark-thompson,Mark Thompson,RB,,,,,,,,,,,,,,0.0,17.0,2.0,2.0,42.0,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,,,,0.0,24.0,2.0,,,
max-duggan,Max Duggan,QB,1.0,,,,,,1.0,,,,0.0,110.0,,,,,2.0,54.0,
nick-vogel,Nick Vogel,K,,,,2.0,52.0,,,,,1.0,,,,,,,,,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,39.0,
rodell-rahmaan,Rodell Rahmaan,TE/WR,,,,,,,,,,,,,,0.0,0.0,0.0,,,
rodrigo-blankenship,Rodrigo Blankenship,K,,,,,49.0,,,,,1.0,,,,,,,,,
ryan-mcdaniel,Ryan McDaniel,WR,,,,,,,,,,,,,,0.0,4.0,1.0,,,
showboats-k,SHOWBOATS K,K,,,,2.0,105.0,,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,,,,,1.0,,1.0,,2.0,146.0,,,,,0.0,0.0,
showboats-dst,Showboats DST,DST,,1.0,,,,,,2.0,,,,,20.0,,,,,,4.0
stallions-dst,Stallions DST,DST,,,,,,2.0,,1.0,,,,,23.0,,,,,,1.0
stallions-k,Stallions K,K,,,,,114.0,,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,1.0,,,,,,1.0,,1.0,,3.0,262.0,,,,,0.0,45.0,
teo-redding,Teo Redding,WR,,,,,,,,,,,,,,0.0,57.0,5.0,,,
vinny-papale,Vinny Papale,WR,,,,,,,,,,,,,,1.0,23.0,3.0,,,
