player_id,player_name,positions,1pt_conversion,conversions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
adrian-martinez,Adrian Martinez,QB,1.0,,,,1.0,,,,3.0,173.0,,,,,2.0,44.0,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,,,,1.0,16.0,2.0,,,
binjimen-victor,Binjimen Victor,WR,,,,,,,,,,,,1.0,12.0,1.0,,,
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,,,,1.0,2.0,1.0,,,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,,,,0.0,24.0,1.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,,1.0,29.0,4.0,0.0,10.0,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,,0.0,12.0,1.0,,,
gary-jennings,Gary Jennings,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
jj-molson,J.J. Molson,K,,,,,,,,1.0,,,,,,,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,,0.0,30.0,2.0,,,
jack-kramer,Jack Kramer,C/G/OC/OL,,,,,,,,,,,,,,,0.0,0.0,
jordan-thomas-2,Jordan Thomas,TE,1.0,,,,,,,,,,,0.0,11.0,1.0,,,
justin-hall,Justin Hall,WR,,2.0,,,,,,,,,,0.0,73.0,4.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,0.0,80.0,7.0,,,
kevin-austin-jr,Kevin Austin Jr.,WR,,,,,,,,,,,,0.0,20.0,2.0,,,
larry-rountree-iii,Larry Rountree III,RB,1.0,,,,,,1.0,,,,,0.0,5.0,1.0,0.0,32.0,
marcus-baugh,Marcus Baugh,TE/WR,,,,,,,,,,,,0.0,12.0,1.0,,,
mark-thompson,Mark Thompson,RB,,,,,,,,,,,,,,,2.0,54.0,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,,0.0,27.0,3.0,,,
nolan-henderson,Nolan Henderson,QB,,1.0,,,0.0,,1.0,,0.0,97.0,,,,,1.0,34.0,
reid-sinnett,Reid Sinnett,QB,,1.0,,,1.0,,,,1.0,99.0,,,,,0.0,8.0,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,,,0.0,11.0,2.0,0.0,63.0,
roughnecks-dst,Roughnecks DST,DST,,,,1.0,,1.0,,,,,35.0,,,,,,0.0
roughnecks-k,Roughnecks K,K,,,,,,,,1.0,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,2.0,,,1.0,,1.0,,1.0,196.0,,,,,1.0,42.0,
stallions-dst,Stallions DST,DST,,,,1.0,,1.0,,,,,28.0,,,,,,2.0
stallions-k,Stallions K,K,,,45.0,,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,,,,1.0,,,,3.0,173.0,,,,,2.0,44.0,
tj-pledger-iv,T.J. Pledger IV,RB,,,,,,,,,,,,0.0,5.0,1.0,0.0,39.0,
