player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
andre-sale,Andre Sale,QB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
away-jefferson,Away Jefferson,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,31.0,1.0,50.0,3.0,,,,,,0.0,1.0,,,,
ben-smiley,Ben Smiley,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
blake-erickson,Blake Erickson,K,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,10.0,,,,
brandon-macgregor,Brandon MacGregor,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,3.0,,,,
brandon-unangst-refused-to-report,Brandon Unangst (Refused to Report),OL,1.0,1.0,0.0,,,,,,,,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,
cj-cain,CJ Cain,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,36.0,1.0,53.0,3.0,,,,,,,,,,,
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,,,,,,,,,,,,,,,3.0,,,,,,,8.7,13.0,0.0,26.0,,,,,,,,10.5,24.0,0.0,42.0,4.0,2.5,8.0,10.0,1.0,25.0,,,,,,
charles-reid,Charles Reid,DB,,,,1.0,0.0,0.0,,,,,,,,,,1.0,54.2,0.0,1.0,271.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
daequan-richie,Daequan Richie,WR,1.0,1.0,0.0,,,,1.0,11.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,5.0,,,,
david-brown-jr,David Brown Jr.,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,1.0,2.0,,
deandre-brown,Deandre Brown,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
dekoven-ware,Dekoven Ware,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
desmond-scott,Desmond Scott,DL,0.0,1.0,0.0,,,,,,,,16.0,16.0,16.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,5.0,5.0,,,,
dreko-statham,Dreko Statham,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,
droell-greene,Droell Greene,DB/WR/DB,,,,,,,,,,,,,,1.0,,,,,,,,,,,,19.0,13.0,,36.0,3.0,208.0,,,,,,,6.8,28.0,6.0,2.0,41.0,,,,,,
faleaoga-russell,Faleaoga Russell,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
jeff-luc,Jeff Luc,DB/DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,13.0,0.0,45.0,4.0,,,,,,0.0,1.0,,,,
joseph-taylor,Joseph Taylor,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,0.0,12.0,1.0,2.9,9.0,7.0,1.0,20.0,,,,,,
kevin-voyles,KEVIN VOYLES,RB,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,7.0,11.0,1.0,14.0,2.0,,,,,,,,,,0.0,0.0
kevin-simmons,Kevin Simmons,DB,0.0,,,,,,,,,,,,,,3.0,,,,,,,15.7,19.0,0.0,47.0,,,,,,,,12.3,36.0,1.0,74.0,6.0,2.5,3.0,2.0,0.0,5.0,2.0,2.0,,,,
kimo-naehu,Kimo Naehu,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
kyle-griswould,Kyle Griswould,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,0.5,0.0,,
ladarius-galloway,LaDarius Galloway,RB,1.0,,,,,,,,,,,,,,,7.0,46.5,0.0,0.0,372.0,8.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,7.0,7.0
letrell-golden,Letrell Golden,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
levonta-hall,Levonta Hall,DB,,,,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
mclean-djouha,Mclean Djouha,OL,1.0,,,,,,,,,,,,,,4.0,,,,,,,16.8,25.0,0.0,67.0,,,,,,,,23.0,32.0,1.0,69.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,,,,
mike-green,Mike Green,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,3.0,,,,
mykell-yancie,Mykell Yancie,DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,5.0,0.5,1.0,,
quantaye-battle,Quantaye Battle,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,0.0,9.0,1.0,,,,,,,,,,,
rysan-richardson,Rysan Richardson,K,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,1.0,,21.0,0.0,21.0,,,,,,,-1.5,0.0,2.0,0.0,-3.0,,,,,,
sean-connaghan,Sean Connaghan,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,18.0,0.0,32.0,3.0,,,,,,,,,,,
vincent-espinoza,Vincent Espinoza,QB,,,,,,,,,1.0,1.0,,,,2.0,,0.0,,,,,,,,,,28.0,16.0,,36.0,2.0,171.0,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,0.0,0.0
willie-caviness,Willie Caviness,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,4.0,,,,
zack-brown,Zack Brown,DL/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
