player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
andre-sale,Andre Sale,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
away-jefferson,Away Jefferson,DB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,6.0,0.0,6.0,8.7,12.0,0.0,26.0,3.0,1.0,4.0,2.0,0.0,2.0,,,,,,,,
brandon-unangst-refused-to-report,Brandon Unangst (Refused to Report),OL,0.0,2.0,0.0,,,,,,,,,7.5,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
cj-cain,CJ Cain,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,34.0,0.0,34.0,1.0,,,,,,,,,,,,,
cameron-george,Cameron George,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0,,
chris-elmore,Chris  Elmore,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,,,
cordarius-wright,Cor'Darius Wright,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,13.0,0.0,18.0,2.0,,,,,,,,,,,,,
david-brown-jr,David Brown Jr.,,1.0,1.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
desmond-grace,Desmond Grace,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,5.0,,,,
droell-greene,Droell Greene,DB/WR/DB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9.0,6.0,,20.0,1.0,63.0,,,,,,3.0,7.0,3.0,0.0,9.0,,,,,,,,
duke-williams,Duke Williams,WR,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,10.0,7.0,,25.0,1.0,59.0,,,,,,-3.0,0.0,1.0,0.0,-3.0,,,0.0,1.0,,,,
giovanni-sanders,Giovanni Sanders,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,11.0,0.0,21.0,4.0,0.4,7.0,8.0,0.0,3.0,,,,,,,,
greg-conry,Greg Conry,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,0.0,,
isaiah-blackmon,Isaiah Blackmon,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
jack-robinson,Jack Robinson,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0,,
jarvai-flowers,Jarvai Flowers,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,1.0,0.0,,
jatavius-stewart,Jatavius Stewart,DB,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,21.0,9.0,,41.0,1.0,128.0,,,,,,-6.0,0.0,2.0,0.0,-12.0,,,,,,,,
jeff-luc,Jeff Luc,DB/DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,6.0,1.0,,,,,,,,,,,,,
joseph-taylor,Joseph Taylor,QB,,,,,,,,,,,,,,,,1.0,,,,,,,36.0,36.0,1.0,36.0,,,,,,,17.5,20.0,1.0,35.0,2.0,3.5,5.0,2.0,1.0,7.0,,,,,,,,
justin-clarkson,Justin Clarkson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,41.0,1.0,103.0,5.0,0.0,0.0,1.0,0.0,0.0,,,1.0,1.0,1.0,0.0,,
jyaire-stevens,Jyaire Stevens,DL,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,2.0,2.0,2.0,0.0,,
kaleb-lowe,Kaleb Lowe,QB,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,6.8,25.0,1.0,34.0,5.0,,,,,,,,1.0,2.0,,,,
khalil-trotman,Khalil Trotman,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,,,,
kimo-naehu,Kimo Naehu,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,2.0,3.0,2.0,0.0,,
kobe-gatson,Kobe Gatson,QB,,,,,,,,,,,,,,,0.0,3.0,,,,,,,25.0,31.0,0.0,75.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
kyle-jarvis,Kyle Jarvis,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
ladarius-galloway,LaDarius Galloway,RB,0.0,,,2.0,21.0,2.0,,,,,,,,,,,13.0,50.0,0.0,0.0,450.0,9.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,7.0,7.0
letrell-golden,Letrell Golden,OL,0.0,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
mclean-djouha,Mclean Djouha,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,43.0,1.0,61.0,3.0,,,,,,,,,,,,,
noa-purcell,Noa Purcell,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,17.0,1.0,44.0,5.0,3.3,8.0,6.0,1.0,20.0,,,,,,,,
ponce-deleon,Ponce Deleon,DB,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
raheem-harvey,Raheem Harvey,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,1.0,3.0,5.0,3.0,0.0,,
rashard-budd,Rashard Budd,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
raymond-alexander,Raymond Alexander,DL,,,,,,,,,,,,,,,,,1.0,45.3,0.0,0.0,136.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
romeo-roberts,Romeo Roberts,WR,1.0,2.0,0.0,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,5.0,,,,
rysan-richardson,Rysan Richardson,K,,,,,,,,,,1.0,0.0,,,,0.0,,,,,,,,,,,,11.0,9.0,,43.0,2.0,143.0,0.0,0.0,0.0,0.0,1.0,7.5,10.0,6.0,1.0,45.0,,,,,,,,
trayoun-maxie,Trayoun Maxie,DB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,-10.0,0.0,1.0,0.0,-10.0,,,,,,,,
tyrek-sharp,Tyrek Sharp,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
