player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
alec-wilson-holliday,Alec Wilson Holliday,P,3.0,1.0,22.0,18.0,,3.0,1.0,,,21.0,2.0,305.0,17.0
alex-davis,Alex Davis,P,2.0,,25.0,14.0,,9.0,4.0,,,16.0,1.0,422.0,37.0
alexander-wilcox,Alexander Wilcox,P,1.0,1.0,9.0,9.0,,,2.0,,4.0,11.0,1.0,64.0,38.0
anders-juengst,Anders Juengst,P,2.0,,32.0,28.0,,2.0,2.0,1.0,,30.0,1.0,167.0,146.0
andrew-mckelvey,Andrew McKelvey,P,,1.0,1.0,6.0,,1.0,1.0,,,6.0,,1.0,33.0
ben-price,Ben Price,P,1.0,,14.0,15.0,,1.0,6.0,,,15.0,,121.0,118.0
ben-snell,Ben Snell,P/RB,1.0,,9.0,13.0,,1.0,3.0,,1.0,14.0,1.0,72.0,80.0
brooks-wallace,Brooks Wallace,P,,4.0,6.0,5.0,1.0,1.0,,,,6.0,1.0,26.0,-13.0
connor-deluna,Connor DeLuna,P,1.0,,9.0,4.0,1.0,5.0,,,,4.0,,256.0,4.0
connor-russell,Connor Russell,P,2.0,1.0,2.0,1.0,,,,,4.0,1.0,,14.0,12.0
daniel-emmons,Daniel Emmons,P,,1.0,2.0,1.0,,1.0,,,,1.0,,45.0,9.0
darren-phillips,Darren Phillips,P,,,,,,,,,1.0,,,,
jack-wooldridge,Jack Wooldridge,P,1.0,,4.0,4.0,1.0,,,1.0,2.0,6.0,1.0,17.0,65.0
jacob-fairfax,Jacob Fairfax,P,,,18.0,18.0,,2.0,1.0,,,18.0,1.0,379.0,97.0
jake-floyd,Jake Floyd,P,2.0,,17.0,24.0,,1.0,2.0,1.0,,25.0,1.0,74.0,296.0
jason-hustad,Jason Hustad,P,6.0,1.0,29.0,40.0,,,3.0,2.0,,47.0,6.0,42.0,447.0
jon-deamicis,Jon DeAmicis,P,,,,,,,,,1.0,,,,
joseph-welkener,Joseph Welkener,P,2.0,,10.0,9.0,,1.0,,,,9.0,,76.0,70.0
kevin-richardson,Kevin Richardson,P,1.0,,9.0,10.0,1.0,,,,15.0,10.0,,12.0,42.0
marc-rovner,Marc Rovner,P,,,3.0,3.0,,1.0,,,,3.0,,71.0,8.0
matt-gouchoe-hanas,Matt Gouchoe-Hanas,P,1.0,,43.0,48.0,,,3.0,,,48.0,1.0,58.0,233.0
matthew-wilson,Matthew Wilson,P,,,2.0,3.0,1.0,,,,,3.0,,10.0,5.0
myles-armstrong,Myles Armstrong,P,,,4.0,5.0,,,,,,5.0,,31.0,-6.0
myles-cooper,Myles Cooper,P,,,4.0,2.0,,1.0,,,,3.0,1.0,34.0,-34.0
ryan-buckingham,Ryan Buckingham,P,,,3.0,3.0,1.0,1.0,1.0,,,3.0,,44.0,17.0
samuel-roberts,Samuel Roberts,P,1.0,,10.0,9.0,,1.0,1.0,1.0,1.0,11.0,1.0,23.0,128.0
sol-yanuck,Sol Yanuck,P,8.0,,43.0,57.0,,1.0,1.0,6.0,,63.0,6.0,127.0,567.0
suhas-madiraju,Suhas Madiraju,P,1.0,1.0,3.0,4.0,,,,,,4.0,,22.0,-5.0
suraj-madiraju,Suraj Madiraju,P,1.0,1.0,17.0,16.0,,4.0,3.0,,,18.0,,80.0,132.0
tanner-roberts,Tanner Roberts,P,1.0,,16.0,12.0,,2.0,2.0,1.0,,14.0,2.0,166.0,197.0
terrence-mitchell,Terrence Mitchell,P,2.0,1.0,7.0,1.0,,,,,,1.0,3.0,62.0,5.0
tobias-brooks,Tobias Brooks,P,,1.0,3.0,3.0,,1.0,1.0,,,3.0,,5.0,30.0
trevor-lynch,Trevor Lynch,P,2.0,2.0,29.0,26.0,,1.0,2.0,1.0,,30.0,3.0,54.0,150.0
ty-naquin,Ty Naquin,P,2.0,,2.0,2.0,,,,,,2.0,,1.0,30.0
walker-matthews,Walker Matthews,P,,2.0,5.0,3.0,,,,,8.0,3.0,1.0,35.0,16.0
william-coffin,William Coffin,P,,,3.0,,,1.0,,,10.0,2.0,,38.0,
