player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
adrian-jefferson,Adrian Jefferson,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
alexander-kekua,Alexander Kekua,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,28.0,0.0,39.0,3.0,3.6,11.0,7.0,1.0,25.0,,,,,,
alexis-rosario,Alexis Rosario,RB/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,16.0,1.0,82.0,8.0,4.0,4.0,1.0,0.0,4.0,,,,,,
andre-sale,Andre Sale,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,1.0,0.0,,
away-jefferson,Away Jefferson,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,26.0,2.0,33.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,,
ben-pister,Ben Pister,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
cj-cain,CJ Cain,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,7.0,1.0,,,,,,,,,,,
david-brown-jr,David Brown Jr.,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,7.0,3.5,0.0,,
davonte-brown,Davonte Brown,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,5.0,,,,
demarius-washington,Demarius Washington,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
devontae-tinsley,Devontae Tinsley,DB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,15.0,0.0,15.0,8.0,8.0,0.0,8.0,1.0,,,,,,,,,,,
donyai-dixon,Donyai Dixon,DB,3.0,1.0,0.0,,,,,,,,,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
droell-greene,Droell Greene,DB/WR/DB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9.0,6.0,,26.0,2.0,77.0,,,,,,7.8,14.0,10.0,3.0,78.0,,,,,,
jaden-sutton,Jaden Sutton,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
jeff-luc,Jeff Luc,DB/DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
jeffery-mack-ii,Jeffery Mack II,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,5.0,,,,
jerry-harris-jr,Jerry Harris Jr.,OL,3.0,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
jyaire-stevens,Jyaire Stevens,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,3.0,,,,
kollin-jackson,Kollin Jackson,WR,1.0,,,1.0,23.0,1.0,,,,,,,,,,,7.0,43.0,0.0,0.0,215.0,5.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,4.0,4.0
kyle-meyers,Kyle Meyers,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,0.0,,,,
ladarius-galloway,LaDarius Galloway,RB,1.0,,,2.0,14.0,1.0,,,,,,,,,,,8.0,46.9,0.0,0.0,375.0,8.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,6.0,5.0
letrell-golden,Letrell Golden,OL,6.0,,,,,,,,,,,,,,,1.0,,,,,,,9.0,9.0,0.0,9.0,,,2.0,,,,,,,,,,,,,,6.0,12.0,,,,
makeah-scippio,Makeah Scippio,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,8.0,10.0,1.0,22.0,0.0,1.0,,,,
mason-pierce,Mason Pierce,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,10.0,1.0,,,,,,,,,,,
matt-friess,Matt Friess,WR,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,0.0,,
mclean-djouha,Mclean Djouha,OL,,,,,,,,,,1.0,1.0,,,,0.0,4.0,,,,,,,15.8,33.0,0.0,63.0,1.0,0.0,,0.0,0.0,0.0,13.5,21.0,0.0,27.0,2.0,12.3,30.0,3.0,0.0,37.0,,,,,,
mike-green,Mike Green,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,2.0,,,,
mustafa-majeed,Mustafa Majeed,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.5,0.0,,
nashawn-jackson,Nashawn Jackson,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
ralph-green,Ralph Green,DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,
rathel-carter,Rathel Carter,LB,,,,,,,,,,,,,,,,4.0,,,,,,,26.3,45.0,1.0,105.0,,,,,,,6.0,8.0,1.0,12.0,2.0,,,,,,,,,,,
rysan-richardson,Rysan Richardson,K,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
tevin-shipp,Tevin Shipp,LB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,
traveon-samuel,Traveon Samuel,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
xzavier-crawford-injured-reserve,Xzavier Crawford (Injured Reserve),WR,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,34.0,16.0,,28.0,2.0,155.0,,,,,,-4.8,0.0,5.0,0.0,-24.0,,,,,,
yuka-onya,Yuka Onya,DL,,,,,,,,,,,,,,,,3.0,,,,,,,15.0,21.0,0.0,45.0,,,,,,,7.0,8.0,0.0,14.0,2.0,,,,,,,,,,,
