player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aleki-tapa,Aleki Tapa,OL,0.0,,,,,,,,1.0,0.0,1.0,0.0,,,,0.0,,,,,,,,,,,,29.0,12.0,,35.0,3.0,150.0,,,,,,4.0,25.0,8.0,0.0,32.0,,,0.0,0.0,,,,
anthony-jacobsen,Anthony Jacobsen,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
avaun-rucker,Avaun Rucker,QB,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,30.0,0.0,30.0,,,,,,,,,,,,,,,,,,
caleb-lowery-refused-to-report,Caleb Lowery (Refused to Report),WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,35.0,1.0,35.0,1.0,,,,,,,,,,,,,
dawandrick-crockett,Dawandrick Crockett,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
deonte-rarrick,Deonte Rarrick,WR,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,13.2,30.0,0.0,79.0,6.0,,,,,,,,,,,,,
devond-blair-jr,Devond Blair Jr.,WR,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,45.0,1.0,45.0,21.7,45.0,1.0,65.0,3.0,,,,,,,,1.0,1.0,1.0,0.0,,
dion-kuinlan,Dion Kuinlan,DB,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
easias-gandy,Easias Gandy,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,0.0,15.0,1.0,,,,,,,,,,,,,
everitt-cunningham,Everitt Cunningham,DL,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,12.0,0.0,12.0,13.8,30.0,2.0,55.0,4.0,,,,,,,,,,,,,
greg-dent,Greg Dent,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,17.0,15.0,3.0,76.0,,,,,,,,
isaiah-robinson,Isaiah Robinson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,5.0,1.0,2.0,2.0,1.0,0.0,2.0,,,1.0,1.0,,,,
jack-robinson,Jack Robinson,DL,,,,,5.0,25.0,1.0,,,,,,,,,,,6.0,43.3,0.0,3.0,260.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0
jalen-stradford,Jalen Stradford,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,1.0,0.0,,
jamall-thompson,Jamall Thompson,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,
james-summers,James Summers,QB/WR/LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,3.0,,,,
jamon-langford,Jamon Langford,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,0.0,21.0,1.0,,,,,,,,,,,,,
jordan-barton,Jordan Barton,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,3.0,3.0,2.0,0.0,,
jordan-whitley,Jordan Whitley,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
justin-clarkson,Justin Clarkson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0,,
kaleb-macaway,Kaleb Macaway,WR,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,3.0,,,,,,,,,,,,,,,,1.0,2.0,,,,
kaytron-allen,Kaytron Allen,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
kevin-macias,Kevin Macias,K,,,,,2.0,0.0,0.0,,,,,,,,,,,4.0,49.7,0.0,1.0,298.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0
kisean-johnson,Kisean JOHNSON,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,22.0,0.0,37.0,2.0,,,,,,,,0.0,1.0,,,,
kyler-henson,Kyler Henson,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,11.0,1.0,7.0,7.0,2.0,0.0,,
levonta-hall,Levonta Hall,DB,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,17.0,0.0,22.0,2.0,,,,,,,,0.0,0.0,,,,
marlon-bradley,Marlon Bradley,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
monalo-caldwell,Monalo Caldwell,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
rashad-flanders,Rashad Flanders,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
sam-moala,Sam Moala,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8,7.0,6.0,0.0,-23.0,,,,,,,,
simeon-burns,Simeon Burns,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
team,TEAM,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
tabyus-taylor,Tabyus Taylor,RB,1.0,,1.0,0.0,,,,,2.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,1.0,,5.0,0.0,5.0,,,,,,,,,,,,,6.0,7.0,,,,
