player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa
abdul-kanneh,Abdul Kanneh,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-bighill,Adam Bighill,LB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alonzo-addae,Alonzo Addae,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-williams,Avery Williams,LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brady-oliveira,Brady OLIVEIRA,RB,,,,1.0,1.0,,,,,,,,,,,20.0,3.0,4.0,,24.0,27.0,,,,,,14.0,8.0,48.0,,,,,,,,
caleb-evans,Caleb EVANS,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
casey-sayles,Casey Sayles,DT/DB,,,1.0,4.0,4.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cleyon-laing,Cleyon Laing,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dalton-schoen,Dalton SCHOEN,WR,,,,,,,,,,,,,,,,31.0,2.0,3.0,1.0,4.0,58.0,,,,,,,,,1.0,6.0,1.0,,,,,
darvin-adams,Darvin Adams,WR,,,,,,,,,,,,,,,,48.0,2.0,6.0,,3.0,64.0,,,,,,,,,,,,,,,,
davon-coleman,Davon Coleman,DT/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deatrick-nichols,Deatrick Nichols,DB/CB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devonte-williams,Devonte Williams,RB,,,,,,,,,,,,,,,,2.0,3.0,3.0,,3.0,3.0,,,,,,12.0,19.0,85.0,,,,,,,,
donald-rutledge,Donald Rutledge,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,,,,,,,,,32.0,2.0,3.0,,10.0,41.0,,,,,,,,,,,,,,,,
dru-brown,Dru Brown,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,,,,,,,,
frankie-griffin,Frankie Griffin,LB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,,,,30.0,4.0,7.0,1.0,4.0,71.0,,,,,,,,,1.0,6.0,1.0,,,,,
jackson-jeffcoat,Jackson Jeffcoat,DE/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,,,,,,,,,,15.0,7.0,8.0,,11.0,77.0,,,,,,,,,,,,,,,,
james-hornbuckle,James Hornbuckle,DB,,,1.0,2.0,2.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
